date,symbol,tenor,expiry,spot_usd,future_usd,annualized_pct,source
2026-08-06,BTC,current_quarter,2026-09-25,64448.7,64807.7,4.1047,bykaranteli.com
2026-08-06,BTC,next_quarter,2026-12-25,64448.7,65523.9,4.333,bykaranteli.com
2026-08-06,ETH,current_quarter,2026-09-25,1909.02,1914.31,2.042,bykaranteli.com
2026-08-06,ETH,next_quarter,2026-12-25,1909.01,1928.47,2.6476,bykaranteli.com
2026-08-07,BTC,current_quarter,2026-09-25,64271.22,64643.7,4.2888,bykaranteli.com
2026-08-07,BTC,next_quarter,2026-12-25,64271.22,65358.2,4.3992,bykaranteli.com
2026-08-07,ETH,current_quarter,2026-09-25,1900.8,1906.06,2.0478,bykaranteli.com
2026-08-07,ETH,next_quarter,2026-12-25,1900.8,1920.05,2.6343,bykaranteli.com
2026-08-08,BTC,current_quarter,2026-09-25,64895.08,65243.8,4.0589,bykaranteli.com
2026-08-08,BTC,next_quarter,2026-12-25,64895.09,65972.8,4.3507,bykaranteli.com
2026-08-08,ETH,current_quarter,2026-09-25,1914.31,1919.92,2.2136,bykaranteli.com
2026-08-08,ETH,next_quarter,2026-12-25,1914.31,1934.85,2.811,bykaranteli.com
2026-08-09,BTC,current_quarter,2026-09-25,64960.28,65311.4,4.169,bykaranteli.com
2026-08-09,BTC,next_quarter,2026-12-25,64960.28,66036.5,4.3717,bykaranteli.com
2026-08-09,ETH,current_quarter,2026-09-25,1918.39,1924.1,2.2957,bykaranteli.com
2026-08-09,ETH,next_quarter,2026-12-25,1918.38,1936.01,2.425,bykaranteli.com
2026-08-10,BTC,current_quarter,2026-09-25,65133.99,65484.2,4.2366,bykaranteli.com
2026-08-10,BTC,next_quarter,2026-12-25,65133.99,66198.3,4.3432,bykaranteli.com
2026-08-10,ETH,current_quarter,2026-09-25,1921.56,1926.37,1.9724,bykaranteli.com
2026-08-10,ETH,next_quarter,2026-12-25,1921.78,1940.8,2.6306,bykaranteli.com
2026-08-11,BTC,current_quarter,2026-09-25,63978.45,64300.3,4.0513,bykaranteli.com
2026-08-11,BTC,next_quarter,2026-12-25,63977.6,64933.6,4.0009,bykaranteli.com
2026-08-11,ETH,current_quarter,2026-09-25,1872.97,1878.35,2.3133,bykaranteli.com
2026-08-11,ETH,next_quarter,2026-12-25,1872.97,1891.89,2.7047,bykaranteli.com
2026-08-12,BTC,current_quarter,2026-09-25,63602.49,63902.6,3.8857,bykaranteli.com
2026-08-12,BTC,next_quarter,2026-12-25,63602.49,64606.6,4.2582,bykaranteli.com
2026-08-12,ETH,current_quarter,2026-09-25,1881.81,1886.32,1.9736,bykaranteli.com
2026-08-12,ETH,next_quarter,2026-12-25,1881.59,1900.53,2.715,bykaranteli.com
2026-08-13,BTC,current_quarter,2026-09-25,63608.43,63926.8,4.2169,bykaranteli.com
2026-08-13,BTC,next_quarter,2026-12-25,63608.44,64632.8,4.376,bykaranteli.com
2026-08-13,ETH,current_quarter,2026-09-25,1883.17,1888.71,2.4786,bykaranteli.com
2026-08-13,ETH,next_quarter,2026-12-25,1883.17,1902.03,2.7214,bykaranteli.com
