report_date,market_code,market_name,open_interest,hedge_fund_long,hedge_fund_short,institutional_long,institutional_short,other_reportable_long,other_reportable_short,small_trader_long,small_trader_short,source
2026-08-25,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,22216,3181,11270,4732,1787,1901,177,1121,1280,bykaranteli.com
2026-08-25,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,37171,15753,22467,836,331,5694,2864,6093,2473,bykaranteli.com
2026-08-25,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,26868,1949,10334,1307,3510,116,803,897,852,bykaranteli.com
2026-08-25,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,52055,9154,32883,893,3179,22450,5875,2200,697,bykaranteli.com
2026-08-18,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,21760,4488,11927,4531,1799,2400,376,705,993,bykaranteli.com
2026-08-18,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,32133,15651,14553,346,3667,4017,4691,4627,2365,bykaranteli.com
2026-08-18,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,22684,2979,7374,1037,4113,187,439,782,587,bykaranteli.com
2026-08-18,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,47109,16519,34254,1625,5260,25074,6366,1680,340,bykaranteli.com
2026-08-11,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,21185,4997,12049,4741,2507,2443,394,778,1088,bykaranteli.com
2026-08-11,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,28190,15660,16087,344,1725,3965,3978,4296,2387,bykaranteli.com
2026-08-11,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,21970,3558,7556,1279,4398,25,413,693,590,bykaranteli.com
2026-08-11,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,42071,12015,28643,1848,5887,24004,6546,1505,368,bykaranteli.com
2026-08-04,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,20143,4243,11483,4764,2222,2491,342,652,1072,bykaranteli.com
2026-08-04,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,21203,10683,6740,350,3845,3983,4614,3966,2308,bykaranteli.com
2026-08-04,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,20431,2923,6128,874,4493,25,349,746,594,bykaranteli.com
2026-08-04,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,36131,8310,22093,1409,6896,22356,6215,1323,389,bykaranteli.com
2026-07-28,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,20019,3295,10168,4798,2499,992,156,722,1064,bykaranteli.com
2026-07-28,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,31572,16099,9572,294,2401,4348,3266,4944,2364,bykaranteli.com
2026-07-28,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,23853,1828,7224,1036,4508,25,303,779,671,bykaranteli.com
2026-07-28,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,57173,19284,37702,1642,7388,26100,5508,1834,829,bykaranteli.com
2026-07-21,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,20527,4042,11991,4684,1957,810,143,793,861,bykaranteli.com
2026-07-21,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,31118,15204,10542,354,1818,4913,3035,5481,2613,bykaranteli.com
2026-07-21,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,23667,2223,9276,1634,4054,25,150,821,386,bykaranteli.com
2026-07-21,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,56175,23158,39384,1196,8389,26812,5299,2752,581,bykaranteli.com
2026-07-14,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,19385,4015,11506,4779,1964,389,143,871,1057,bykaranteli.com
2026-07-14,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,28911,13797,8827,493,1197,4403,4019,5176,2845,bykaranteli.com
2026-07-14,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,22539,2914,10875,1937,3343,25,89,847,591,bykaranteli.com
2026-07-14,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,48033,19132,30108,1713,9353,24132,5211,1956,603,bykaranteli.com
2026-07-07,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,18832,4406,11123,4790,2405,197,361,821,1104,bykaranteli.com
