date,btc_dominance_pct,eth_dominance_pct,total_market_cap_usd,total_volume_24h_usd,stablecoin_cap_usd,fear_greed_value,fear_greed_classification,source
2026-07-23,56.60899877182111,9.961647812038361,2306567861338.098,60066865773.81351,310084172354.1594,31,Fear,bykaranteli.com
2026-07-24,56.74238302870652,9.858815005126639,2303223699829.848,61731129007.03715,308973626469.9908,31,Fear,bykaranteli.com
2026-07-25,56.55867763740369,9.867906721662411,2273462751759.566,64345639948.23343,309917364785.7598,28,Fear,bykaranteli.com
2026-07-26,56.52609977173412,9.898089099348855,2284148877700.58,38781726732.82613,309670706393.8926,27,Fear,bykaranteli.com
2026-07-27,56.46673394302699,10.14417162799325,2319233818351.875,41683157392.04344,309595523935.2002,26,Fear,bykaranteli.com
2026-07-28,56.44780486337449,10.06697160268235,2267716543313.514,67512003554.27705,309091258284.5464,30,Fear,bykaranteli.com
2026-07-29,56.39429611076237,10.17680053595461,2267123273222.724,62906320426.55176,308346394697.6946,29,Fear,bykaranteli.com
2026-07-30,56.48956701902066,10.13370548272122,2268567391705.208,67490368129.90388,307634500590.0845,29,Fear,bykaranteli.com
2026-07-31,56.52241755750976,10.07447555476387,2283482778992.813,63468951820.68847,307153084756.5419,25,Extreme Fear,bykaranteli.com
2026-08-01,56.23773308560804,10.01100180461626,2244808149002.246,65488269219.64639,306861380098.8689,25,Extreme Fear,bykaranteli.com
2026-08-02,56.31399869309248,9.95087936885239,2235196869145.946,34728087630.51986,306857424946.4935,27,Fear,bykaranteli.com
2026-08-03,56.30046950596122,10.03692934057591,2262775258775.686,39088242864.66203,306718538029.6628,27,Fear,bykaranteli.com
2026-08-04,56.37579666852189,9.919714693135848,2257688884695.035,55794557287.26159,307014074173.955,28,Fear,bykaranteli.com
2026-08-05,56.57705861281168,9.91475977048111,2274439197672.027,53558471620.21982,307168919999.5072,25,Extreme Fear,bykaranteli.com
2026-08-06,56.6243038224663,10.05365201617926,2290668441388.092,57465159480.0344,307104415703.422,27,Fear,bykaranteli.com
2026-08-07,56.59550781382497,10.07496142664494,2276146984796.632,49861612513.90985,307973963196.2934,25,Extreme Fear,bykaranteli.com
2026-08-08,56.77462953857655,10.07550209379756,2292313376854.333,54474316513.59663,307249930573.8589,29,Fear,bykaranteli.com
2026-08-09,56.66709110965776,10.06348689466532,2298894131950.583,31849162737.63144,307242791248.4221,30,Fear,bykaranteli.com
2026-08-10,56.6659244083083,10.038407329201,2296070775164.644,34684219281.51932,307200866016.78,31,Fear,bykaranteli.com
2026-08-11,56.49645588186325,9.948560643073524,2270435793781.353,52595968359.74451,306071067407.5974,30,Fear,bykaranteli.com
2026-08-12,56.24073442396114,10.00748506533398,2266985925412.734,50977497552.83452,307428437328.6106,29,Fear,bykaranteli.com
2026-08-13,56.27346385084942,10.01537109481174,2260904729948.754,51643179681.4697,307347976311.7065,27,Fear,bykaranteli.com
2026-08-14,56.23008288484846,10.05207765164758,2263162298418.216,46544523576.39134,307591407797.2145,29,Fear,bykaranteli.com
2026-08-15,56.11724800516203,10.08240564449059,2249750857771.348,47900715348.35162,307765847482.3055,29,Fear,bykaranteli.com
2026-08-16,56.17078808435528,10.07773191443778,2252636795524.145,28210635763.29537,307011583971.2917,34,Fear,bykaranteli.com
2026-08-17,56.14366442337013,10.06748315620051,2244222503597.772,33208084621.37121,307345747812.3975,34,Fear,bykaranteli.com
2026-08-18,56.55259568672697,10.10005786110622,2288624639926.501,52831631581.81167,307099785290.8538,31,Fear,bykaranteli.com
2026-08-19,56.64615689935732,10.09509362152614,2292962260527.285,46802979046.67027,307466553764.7266,41,Fear,bykaranteli.com
2026-08-20,56.6008549736496,11.04962900913318,2455433130567.997,110655633010.7415,307821764084.7518,46,Fear,bykaranteli.com
2026-08-21,58.74178938881089,11.24331769078174,2496147839201.415,128692055385.572,308195430939.9877,62,Greed,bykaranteli.com
2026-08-22,58.93783457858027,11.41708643737359,2663260113434.562,171464148299.2894,308309083302.4943,72,Greed,bykaranteli.com
2026-08-23,58.84365746203581,11.09066401832357,2622452244931.798,128950481084.7329,309455085639.2327,71,Greed,bykaranteli.com
2026-08-24,59.14357463436913,11.27265307579835,2622279800218.717,87897361597.9234,309173702680.4355,66,Greed,bykaranteli.com
