date,asset,net_inflow_usd,net_assets_usd,cumulative_inflow_usd,value_traded_usd,source
2026-09-03,BTC,730872481,103338439386,55442857314,4774727024,bykaranteli.com
2026-09-03,ETH,141387952,15916317432,13166453439,1115534457,bykaranteli.com
2026-09-03,SOL,6399631,1464926175,1351228198,87560612,bykaranteli.com
2026-09-02,BTC,101146706,97221408372,54711984833,1726684339,bykaranteli.com
2026-09-02,ETH,-48076369,14995182708,13025065488,622152177,bykaranteli.com
2026-09-02,SOL,-6131838,1376071742,1344828567,61494408,bykaranteli.com
2026-09-01,BTC,-236463473,97120693294,54610838127,2690053465,bykaranteli.com
2026-09-01,ETH,10952798,15211761998,13073141857,791470817,bykaranteli.com
2026-09-01,SOL,10190091,1390332472,1350960405,68553594,bykaranteli.com
2026-08-31,BTC,216702053,99610525348,54847301600,2363611082,bykaranteli.com
2026-08-31,ETH,87679883,15613757860,13062189058,742020810,bykaranteli.com
2026-08-31,SOL,925012,1436310972,1340770314,67550635,bykaranteli.com
2026-08-28,BTC,-201806559,97593047467,54630599547,4385894474,bykaranteli.com
2026-08-28,ETH,102178311,15233215164,12974509176,1368062491,bykaranteli.com
2026-08-28,SOL,18081276,1426204639,1339845302,165047936,bykaranteli.com
2026-08-27,BTC,242238213,100927069182,54832406106,3451725061,bykaranteli.com
2026-08-27,ETH,234514809,15569066121,12872330864,1379463447,bykaranteli.com
2026-08-27,SOL,60913408,1485829158,1321764025,196819022,bykaranteli.com
2026-08-26,BTC,232118395,98629224351,54590167893,2264846463,bykaranteli.com
2026-08-26,ETH,192353760,15126774184,12637816055,951081566,bykaranteli.com
2026-08-26,SOL,9135110,1262454441,1260850617,84551769,bykaranteli.com
2026-08-25,BTC,314369659,99045023298,54358049498,3518441387,bykaranteli.com
2026-08-25,ETH,179803405,14881062771,12445462295,980380404,bykaranteli.com
2026-08-25,SOL,32251594,1270908013,1251715507,86148781,bykaranteli.com
2026-08-24,BTC,337556679,98558255393,54043679839,5361421768,bykaranteli.com
2026-08-24,ETH,115568994,14739358459,12265658889,1637704270,bykaranteli.com
2026-08-24,SOL,33489568,1213647380,1219463913,166826816,bykaranteli.com
2026-08-21,BTC,307453306,96069419934,53706123161,6371116431,bykaranteli.com
2026-08-21,ETH,184932209,14294616404,12150089895,1672525027,bykaranteli.com
2026-08-21,SOL,10072185,1117298835,1185974345,86505070,bykaranteli.com
2026-08-20,BTC,606290506,90163867000,53398669855,5404742319,bykaranteli.com
2026-08-20,ETH,220772396,13584946113,11965157686,2053060192,bykaranteli.com
2026-08-20,SOL,14584432,1061398920,1175902161,75516180,bykaranteli.com
2026-08-19,BTC,517192505,84312981235,52792379349,6893875809,bykaranteli.com
2026-08-19,ETH,189154876,12063092533,11744385291,2140989303,bykaranteli.com
2026-08-19,SOL,2099443,986763969,1161317728,98492506,bykaranteli.com
2026-08-18,BTC,189296469,79297950471,52275186843,1359734801,bykaranteli.com
2026-08-18,ETH,71468047,10827971045,11555230415,524727237,bykaranteli.com
2026-08-18,SOL,1584345,923570366,1159218285,30129290,bykaranteli.com
2026-08-17,BTC,297556931,78671270407,52085890374,2120154514,bykaranteli.com
2026-08-17,ETH,30851200,10718567550,11483762367,459734503,bykaranteli.com
2026-08-17,SOL,0,904952102,1157633940,33254417,bykaranteli.com
2026-08-14,BTC,-57632151,76606484662,51788333443,1057597071,bykaranteli.com
2026-08-14,ETH,0,10520496423,11452911168,340267135,bykaranteli.com
2026-08-14,SOL,0,893517909,1157633940,35424415,bykaranteli.com
2026-08-13,BTC,-131129457,77270874844,51845965594,1239373764,bykaranteli.com
2026-08-13,ETH,6716942,10572122040,11452911168,339772261,bykaranteli.com
2026-08-13,SOL,0,908130558,1157633940,25880931,bykaranteli.com
2026-08-12,BTC,-61163714,77369268474,51977095051,1194475464,bykaranteli.com
2026-08-12,ETH,7379093,10531546805,11446194226,358406114,bykaranteli.com
2026-08-12,SOL,0,903960644,1157633940,31424101,bykaranteli.com
2026-08-11,BTC,4886244,77456576400,52038258765,1422584207,bykaranteli.com
2026-08-11,ETH,-1764440,10479332360,11438815133,334480298,bykaranteli.com
2026-08-11,SOL,1429197,899077643,1157633940,36072119,bykaranteli.com
2026-08-10,BTC,-144670942,78163767014,52033372521,2025946560,bykaranteli.com
2026-08-10,ETH,-14587911,10501938883,11440579573,533114835,bykaranteli.com
2026-08-10,SOL,8830103,905657223,1156204743,30932241,bykaranteli.com
2026-08-07,BTC,98845327,79497427558,52178043463,1571984411,bykaranteli.com
2026-08-07,ETH,49601035,10743698230,11455167484,484831750,bykaranteli.com
2026-08-07,SOL,0,869972576,1147374641,40634514,bykaranteli.com
2026-08-06,BTC,128688196,78774746881,52079198136,1360979567,bykaranteli.com
2026-08-06,ETH,92150884,10644936533,11405566449,435460712,bykaranteli.com
2026-08-06,SOL,-859454,857235646,1147374641,25890854,bykaranteli.com
2026-08-05,BTC,244419263,79205582091,51950509940,1583070901,bykaranteli.com
2026-08-05,ETH,60857576,10606072088,11313415565,550639574,bykaranteli.com
2026-08-05,SOL,0,878513730,1148234095,37618773,bykaranteli.com
2026-08-04,BTC,211492376,78258259993,51706090677,1566793988,bykaranteli.com
2026-08-04,ETH,53747438,10316167570,11252557988,387964789,bykaranteli.com
2026-08-04,SOL,1004382,875263172,1148234095,31082047,bykaranteli.com
2026-08-03,BTC,170090384,77579680477,51494598301,2108164343,bykaranteli.com
2026-08-03,ETH,-11417812,10233353558,11198810550,519878199,bykaranteli.com
2026-08-03,SOL,0,871902336,1147229713,32025498,bykaranteli.com
2026-07-31,BTC,-265372778,76293563503,51324507916,2670568746,bykaranteli.com
2026-07-31,ETH,9029538,10229437203,11210228362,630395820,bykaranteli.com
2026-07-31,SOL,395392,860011808,1147229713,30216423,bykaranteli.com
2026-07-30,BTC,233129286,78758934804,51589880694,1727472767,bykaranteli.com
2026-07-30,ETH,13287130,10522862499,11201198824,422706786,bykaranteli.com
2026-07-30,SOL,403886,878325626,1146834322,31833512,bykaranteli.com
2026-07-29,BTC,32109894,77455001194,51356751408,1880893299,bykaranteli.com
2026-07-29,ETH,-18654193,10369406501,11187911694,563777581,bykaranteli.com
2026-07-29,SOL,19058145,862983521,1146430436,60209142,bykaranteli.com
2026-07-28,BTC,-49754364,77234351521,51324641514,1404256722,bykaranteli.com
2026-07-28,ETH,14529038,10496098203,11206565887,633485462,bykaranteli.com
2026-07-28,SOL,-18073396,851840092,1127372291,78764338,bykaranteli.com
2026-07-27,BTC,-11643899,78713149977,51374395878,1336108742,bykaranteli.com
2026-07-27,ETH,9231921,10646837298,11192036849,775356478,bykaranteli.com
2026-07-27,SOL,1033690,889310852,1145445687,39547101,bykaranteli.com
2026-07-24,BTC,-240084652,77822816251,51386039777,1536469216,bykaranteli.com
2026-07-24,ETH,-70617894,10166677569,11182804928,380344996,bykaranteli.com
2026-07-24,SOL,0,865420416,1144411997,46234355,bykaranteli.com
2026-07-23,BTC,-225176828,78816707403,51626124430,1628098422,bykaranteli.com
2026-07-23,ETH,26319895,10319708906,11253422822,564876880,bykaranteli.com
2026-07-23,SOL,0,885838824,1144411997,57541668,bykaranteli.com
2026-07-22,BTC,68987047,80361241201,51851301258,1112459925,bykaranteli.com
2026-07-22,ETH,72642158,10566204083,11227102927,597489119,bykaranteli.com
2026-07-22,SOL,-1272052,908738542,1144411997,54463485,bykaranteli.com
2026-07-21,BTC,203144295,80937471438,51782314211,2029820070,bykaranteli.com
2026-07-21,ETH,37471014,10478061767,11154460768,645258281,bykaranteli.com
2026-07-21,SOL,5834879,912736885,1145684049,56539154,bykaranteli.com
2026-07-20,BTC,226919373,79163282869,51579169916,1744434620,bykaranteli.com
2026-07-20,ETH,38088604,10294602912,11116989754,593295683,bykaranteli.com
2026-07-20,SOL,2639583,902684554,1139849170,77161028,bykaranteli.com
2026-07-17,BTC,132296395,77736218493,51352250543,2426461226,bykaranteli.com
2026-07-17,ETH,36726444,9966772759,11078901150,627320638,bykaranteli.com
2026-07-17,SOL,0,872038436,1137209587,49553266,bykaranteli.com
2026-07-16,BTC,79150023,77720254049,51219954148,997895799,bykaranteli.com
2026-07-16,ETH,-28041314,10099324887,11042174706,431212836,bykaranteli.com
2026-07-16,SOL,1655291,879194118,1137209587,54737987,bykaranteli.com
2026-07-15,BTC,107804554,78467912771,51140804125,1579261480,bykaranteli.com
2026-07-15,ETH,53829997,10399012593,11070216020,538411989,bykaranteli.com
2026-07-15,SOL,-707077,895156799,1135554296,58358778,bykaranteli.com
2026-07-14,BTC,181083538,77959739410,51032999572,2304431446,bykaranteli.com
2026-07-14,ETH,58338541,10091081831,11016386023,808725130,bykaranteli.com
2026-07-14,SOL,0,895441971,1136261373,59884938,bykaranteli.com
2026-07-13,BTC,-424661226,74790248921,50851916034,2059183663,bykaranteli.com
2026-07-13,ETH,-15409173,9458000807,10958047482,430913862,bykaranteli.com
2026-07-13,SOL,0,868152930,1136261373,46050214,bykaranteli.com
2026-07-10,BTC,90439970,77421550348,51276577260,1448880811,bykaranteli.com
2026-07-10,ETH,18433378,9588195173,10973456656,413495930,bykaranteli.com
2026-07-10,SOL,150521,901376027,1136261373,59500415,bykaranteli.com
2026-07-09,BTC,-95301697,76505863365,51186137290,1383911681,bykaranteli.com
2026-07-09,ETH,-52080428,9344769797,10955023277,234924300,bykaranteli.com
2026-07-09,SOL,-605109,904665342,1136110852,46307546,bykaranteli.com
2026-07-08,BTC,-84860056,75339109500,51281438986,1538994942,bykaranteli.com
2026-07-08,ETH,70477305,9339074757,11007103705,483214679,bykaranteli.com
2026-07-08,SOL,-8646787,894046071,1136715961,77920208,bykaranteli.com
2026-07-07,BTC,21435004,77259139788,51366299042,1507451107,bykaranteli.com
2026-07-07,ETH,26925212,9525922788,10936626401,388452205,bykaranteli.com
2026-07-07,SOL,1672031,949746751,1145362748,83886925,bykaranteli.com
2026-07-06,BTC,265686935,77317665367,51344864038,2527851426,bykaranteli.com
2026-07-06,ETH,20663080,9541843066,10909701189,526717596,bykaranteli.com
2026-07-06,SOL,8359770,957143979,1143690717,67507995,bykaranteli.com
2026-07-02,BTC,221719274,74369324123,51079177103,2130152175,bykaranteli.com
2026-07-02,ETH,29082177,9019904970,10889038108,669622369,bykaranteli.com
2026-07-02,SOL,2199771,936011174,1135330947,77706580,bykaranteli.com
