date,asset,ticker,issuer,net_inflow_usd,net_assets_usd,cum_inflow_usd,fee_pct,source
2026-08-31,BTC,ARKB,Ark & 21Shares,0,2684241191,1318988550,0.21,bykaranteli.com
2026-08-31,BTC,BITB,Bitwise,4290077,2980745639,2079026833,0.2,bykaranteli.com
2026-08-31,BTC,BRRR,Valkyrie,0,453298807,299315125,0.25,bykaranteli.com
2026-08-31,BTC,BTC,Grayscale,9416466,4882261847,2866712949,0.15,bykaranteli.com
2026-08-31,BTC,BTCO,Invesco,0,407250965,148146349,0.25,bykaranteli.com
2026-08-31,BTC,BTCW,WisdomTree,0,171212607,87834149,0.25,bykaranteli.com
2026-08-31,ETH,ETH,Grayscale,13503699,2221021841,1924433933,0.15,bykaranteli.com
2026-08-31,ETH,ETHA,BlackRock,59935734,8685437111,12796893334,0.25,bykaranteli.com
2026-08-31,ETH,ETHB,BlackRock,0,906535795,693622462,0.25,bykaranteli.com
2026-08-31,ETH,ETHE,Grayscale,0,1889917213,-5347027770,2.5,bykaranteli.com
2026-08-31,ETH,ETHV,VanEck,0,126974715,168860821,0.2,bykaranteli.com
2026-08-31,ETH,ETHW,Bitwise,3728607,278225081,397753755,0.2,bykaranteli.com
2026-08-31,BTC,EZBC,Franklin,0,433874491,315666399,0.19,bykaranteli.com
2026-08-31,ETH,EZET,Franklin,0,52671108,67645568,0.19,bykaranteli.com
2026-08-31,BTC,FBTC,Fidelity,6878784,13873027619,10244555645,0,bykaranteli.com
2026-08-31,ETH,FETH,Fidelity,9273207,1363161484,2281198494,0.25,bykaranteli.com
2026-08-31,BTC,GBTC,Grayscale,0,10293868735,-27605306629,1.5,bykaranteli.com
2026-08-31,BTC,HODL,VanEck,-13413366,1199937367,1048903455,0.25,bykaranteli.com
2026-08-31,BTC,IBIT,BlackRock,205905200,61640854960,63570901064,0.25,bykaranteli.com
2026-08-31,BTC,MSBT,Morgan Stanley,3624892,589951121,493973695,0.14,bykaranteli.com
2026-08-31,ETH,MSSE,Morgan Stanley,0,43248758,34790816,0.14,bykaranteli.com
2026-08-31,ETH,QETH,Invesco,0,22535235,23241706,0.25,bykaranteli.com
2026-08-31,ETH,TETH,21Shares,1238635,24029521,20775938,0.21,bykaranteli.com
2026-08-28,BTC,ARKB,Ark & 21Shares,-114889656,2635000054,1318988550,0.21,bykaranteli.com
2026-08-28,BTC,BITB,Bitwise,-49693561,2921812914,2074736756,0.2,bykaranteli.com
2026-08-28,BTC,BRRR,Valkyrie,0,446077401,299315125,0.25,bykaranteli.com
2026-08-28,BTC,BTC,Grayscale,0,4790634157,2857296483,0.15,bykaranteli.com
2026-08-28,BTC,BTCO,Invesco,0,400373608,148146349,0.25,bykaranteli.com
2026-08-28,BTC,BTCW,WisdomTree,0,168071819,87834149,0.25,bykaranteli.com
2026-08-28,ETH,ETH,Grayscale,0,2166276324,1910930234,0.15,bykaranteli.com
2026-08-28,ETH,ETHA,BlackRock,83791459,8462202366,12736957600,0.25,bykaranteli.com
2026-08-28,ETH,ETHB,BlackRock,42644119,889255309,693622462,0.25,bykaranteli.com
2026-08-28,ETH,ETHE,Grayscale,0,1854972527,-5347027770,2.5,bykaranteli.com
2026-08-28,ETH,ETHV,VanEck,0,124560975,168860821,0.2,bykaranteli.com
2026-08-28,ETH,ETHW,Bitwise,0,269295792,394025148,0.2,bykaranteli.com
2026-08-28,BTC,EZBC,Franklin,0,425913586,315666399,0.19,bykaranteli.com
2026-08-28,ETH,EZET,Franklin,0,51673714,67645568,0.19,bykaranteli.com
