date,coin,long_notional_usd,short_notional_usd,long_share_pct,longs,shorts,accounts,top_long_notional_usd,top_short_notional_usd,source
2026-09-02,0G,3933,0,100,2,0,300,3933,0,bykaranteli-hl-scan
2026-09-02,2Z,97802,81899,54.43,2,2,300,95811,81588,bykaranteli-hl-scan
2026-09-02,AAVE,5069336,10825402,31.89,4,11,300,2217554,1997353,bykaranteli-hl-scan
2026-09-02,ACE,2522,0,100,1,0,300,2522,0,bykaranteli-hl-scan
2026-09-02,ADA,970063,2959668,24.69,5,7,300,808897,1435902,bykaranteli-hl-scan
2026-09-02,AERO,0,811588,0,0,3,300,0,655965,bykaranteli-hl-scan
2026-09-02,AIXBT,0,24542,0,0,3,300,0,20206,bykaranteli-hl-scan
2026-09-02,ALGO,431908,385262,52.85,1,3,300,431908,224911,bykaranteli-hl-scan
2026-09-02,ALT,40229,267168,13.09,1,1,300,40229,267168,bykaranteli-hl-scan
2026-09-02,ANIME,732,42863,1.68,2,1,300,585,42863,bykaranteli-hl-scan
2026-09-02,APE,0,185048,0,0,4,300,0,144250,bykaranteli-hl-scan
2026-09-02,APEX,0,122354,0,0,3,300,0,66347,bykaranteli-hl-scan
2026-09-02,APT,127065,197423,39.16,3,2,300,102097,197202,bykaranteli-hl-scan
2026-09-02,AR,0,134212,0,0,2,300,0,134142,bykaranteli-hl-scan
2026-09-02,ARB,2229,2200755,0.1,1,4,300,2229,1112947,bykaranteli-hl-scan
2026-09-02,ASTER,464645,2475506,15.8,1,8,300,464645,1980513,bykaranteli-hl-scan
2026-09-02,ATOM,62980,545297,10.35,2,3,300,46924,486207,bykaranteli-hl-scan
2026-09-02,AVAX,663653,1397634,32.2,2,10,300,516475,624294,bykaranteli-hl-scan
2026-09-02,AVNT,30507,72026,29.75,1,2,300,30507,70349,bykaranteli-hl-scan
2026-09-02,AZTEC,0,86,0,0,1,300,0,86,bykaranteli-hl-scan
2026-09-02,BABY,0,3881,0,0,1,300,0,3881,bykaranteli-hl-scan
2026-09-02,BANANA,0,64,0,0,2,300,0,43,bykaranteli-hl-scan
2026-09-02,BCH,572516,490801,53.84,1,4,300,572516,273891,bykaranteli-hl-scan
2026-09-02,BERA,23665,383456,5.81,3,2,300,23291,383434,bykaranteli-hl-scan
2026-09-02,BIO,58,2632,2.16,1,2,300,58,2450,bykaranteli-hl-scan
2026-09-02,BLUR,201573,243632,45.28,1,3,300,201573,242299,bykaranteli-hl-scan
2026-09-02,BNB,2928091,3495669,45.58,3,9,300,1422750,1397597,bykaranteli-hl-scan
