date,venue,country,symbol,venue_usd,binance_usd,premium_pct,source
2026-08-21,bithumb,KR,BTC,78185.72469,78186.32,-0.0008,bykaranteli-venue-snapshot
2026-08-21,bithumb,KR,ETH,2513.474144,2512.93,0.0217,bykaranteli-venue-snapshot
2026-08-21,bithumb,KR,XRP,1.451566,1.4499,0.1149,bykaranteli-venue-snapshot
2026-08-21,btcturk,TR,BTC,78247,78186.32,0.0776,bykaranteli-venue-snapshot
2026-08-21,btcturk,TR,ETH,2511.2,2512.93,-0.0688,bykaranteli-venue-snapshot
2026-08-21,btcturk,TR,XRP,1.4516,1.4499,0.1172,bykaranteli-venue-snapshot
2026-08-21,coinone,KR,BTC,77559.365134,78186.32,-0.8019,bykaranteli-venue-snapshot
2026-08-21,coinone,KR,ETH,2492.360374,2512.93,-0.8186,bykaranteli-venue-snapshot
2026-08-21,coinone,KR,XRP,1.437622,1.4499,-0.8468,bykaranteli-venue-snapshot
2026-08-21,upbit,KR,BTC,78241.806264,78186.32,0.071,bykaranteli-venue-snapshot
2026-08-21,upbit,KR,ETH,2512.745812,2512.93,-0.0073,bykaranteli-venue-snapshot
2026-08-21,upbit,KR,XRP,1.449381,1.4499,-0.0358,bykaranteli-venue-snapshot
2026-08-22,bithumb,KR,BTC,77135.865595,77087.85,0.0623,bykaranteli-venue-snapshot
2026-08-22,bithumb,KR,ETH,2425.127831,2424.57,0.023,bykaranteli-venue-snapshot
2026-08-22,bithumb,KR,XRP,1.464573,1.4639,0.046,bykaranteli-venue-snapshot
2026-08-22,btcturk,TR,BTC,77050,77087.85,-0.0491,bykaranteli-venue-snapshot
2026-08-22,btcturk,TR,ETH,2420,2424.57,-0.1885,bykaranteli-venue-snapshot
2026-08-22,btcturk,TR,XRP,1.466,1.4639,0.1435,bykaranteli-venue-snapshot
2026-08-22,coinone,KR,BTC,76266.227433,77087.85,-1.0658,bykaranteli-venue-snapshot
2026-08-22,coinone,KR,ETH,2399.167768,2424.57,-1.0477,bykaranteli-venue-snapshot
2026-08-22,coinone,KR,XRP,1.449181,1.4639,-1.0055,bykaranteli-venue-snapshot
2026-08-22,upbit,KR,BTC,77023.357664,77087.85,-0.0837,bykaranteli-venue-snapshot
2026-08-22,upbit,KR,ETH,2422.627737,2424.57,-0.0801,bykaranteli-venue-snapshot
2026-08-22,upbit,KR,XRP,1.463504,1.4639,-0.0271,bykaranteli-venue-snapshot
2026-08-23,bithumb,KR,BTC,77543.731778,77565.56,-0.0281,bykaranteli-venue-snapshot
2026-08-23,bithumb,KR,ETH,2456.997085,2458.16,-0.0473,bykaranteli-venue-snapshot
2026-08-23,bithumb,KR,XRP,1.521866,1.5228,-0.0613,bykaranteli-venue-snapshot
2026-08-23,btcturk,TR,BTC,77529,77565.56,-0.0471,bykaranteli-venue-snapshot
2026-08-23,btcturk,TR,ETH,2448.8,2458.16,-0.3808,bykaranteli-venue-snapshot
2026-08-23,btcturk,TR,XRP,1.5208,1.5228,-0.1313,bykaranteli-venue-snapshot
2026-08-23,coinone,KR,BTC,76851.390304,77565.56,-0.9207,bykaranteli-venue-snapshot
2026-08-23,coinone,KR,ETH,2436.011356,2458.16,-0.901,bykaranteli-venue-snapshot
2026-08-23,coinone,KR,XRP,1.50842,1.5228,-0.9443,bykaranteli-venue-snapshot
2026-08-23,upbit,KR,BTC,77540.087464,77565.56,-0.0328,bykaranteli-venue-snapshot
2026-08-23,upbit,KR,ETH,2458.45481,2458.16,0.012,bykaranteli-venue-snapshot
2026-08-23,upbit,KR,XRP,1.521866,1.5228,-0.0613,bykaranteli-venue-snapshot
2026-08-24,bithumb,KR,BTC,78914.181818,78888.01,0.0332,bykaranteli-venue-snapshot
2026-08-24,bithumb,KR,ETH,2480,2478.64,0.0549,bykaranteli-venue-snapshot
2026-08-24,bithumb,KR,XRP,1.480727,1.481,-0.0184,bykaranteli-venue-snapshot
2026-08-24,btcturk,TR,BTC,78905,78888.01,0.0215,bykaranteli-venue-snapshot
2026-08-24,btcturk,TR,ETH,2485.4,2478.64,0.2727,bykaranteli-venue-snapshot
2026-08-24,btcturk,TR,XRP,1.4802,1.481,-0.054,bykaranteli-venue-snapshot
2026-08-24,coinone,KR,BTC,78424.573418,78888.01,-0.5875,bykaranteli-venue-snapshot
2026-08-24,coinone,KR,ETH,2464.132461,2478.64,-0.5853,bykaranteli-venue-snapshot
2026-08-24,coinone,KR,XRP,1.470822,1.481,-0.6872,bykaranteli-venue-snapshot
2026-08-24,upbit,KR,BTC,78873.546512,78888.01,-0.0183,bykaranteli-venue-snapshot
2026-08-24,upbit,KR,ETH,2478.197674,2478.64,-0.0178,bykaranteli-venue-snapshot
2026-08-24,upbit,KR,XRP,1.481105,1.481,0.0071,bykaranteli-venue-snapshot
2026-08-25,bithumb,KR,BTC,78467.28972,78484.01,-0.0213,bykaranteli-venue-snapshot
2026-08-25,bithumb,KR,ETH,2440.690151,2440.73,-0.0016,bykaranteli-venue-snapshot
2026-08-25,bithumb,KR,XRP,1.432782,1.4324,0.0267,bykaranteli-venue-snapshot
2026-08-25,btcturk,TR,BTC,78526,78484.01,0.0535,bykaranteli-venue-snapshot
2026-08-25,btcturk,TR,ETH,2448.2,2440.73,0.3061,bykaranteli-venue-snapshot
2026-08-25,btcturk,TR,XRP,1.4353,1.4324,0.2025,bykaranteli-venue-snapshot
2026-08-25,coinone,KR,BTC,78925.867816,78484.01,0.563,bykaranteli-venue-snapshot
