date,symbol,exchange,long_liquidations_usd,short_liquidations_usd,events,max_single_liquidation_usd,source
2026-09-04,0GUSDT,binance,46813,4193,73,6861,bykaranteli.com
2026-09-04,0GUSDT,bybit,4234,3098,13,2594,bykaranteli.com
2026-09-04,0GUSDT,gate,459,0,4,406,bykaranteli.com
2026-09-04,0GUSDT,okx,11416,5166,27,3948,bykaranteli.com
2026-09-04,1000000BABYDOGEUSDT,bybit,1455,0,4,971,bykaranteli.com
2026-09-04,1000000MOGUSDT,binance,512,59,4,465,bykaranteli.com
2026-09-04,1000000MOGUSDT,gate,680,0,2,680,bykaranteli.com
2026-09-04,10000NEXUSDT,bybit,27,0,1,27,bykaranteli.com
2026-09-04,1000BONKUSDT,binance,32524,23667,51,7459,bykaranteli.com
2026-09-04,1000BONKUSDT,bybit,19013,56677,31,47879,bykaranteli.com
2026-09-04,1000BONKUSDT,gate,104831,5440,20,9953,bykaranteli.com
2026-09-04,1000BONKUSDT,htx,3120,0,1,3120,bykaranteli.com
2026-09-04,1000BONKUSDT,lighter,15,0,2,8,bykaranteli.com
2026-09-04,1000BONKUSDT,okx,13651,7461,10,6983,bykaranteli.com
2026-09-04,1000BTTUSDT,bybit,285,88,2,285,bykaranteli.com
2026-09-04,1000CATUSDT,binance,183,210,5,115,bykaranteli.com
2026-09-04,1000CATUSDT,bybit,1024,0,2,724,bykaranteli.com
2026-09-04,1000CHEEMSUSDT,binance,40,17,2,40,bykaranteli.com
2026-09-04,1000FLOKIUSDT,binance,37042,5298,44,9494,bykaranteli.com
2026-09-04,1000FLOKIUSDT,bybit,4637,15,9,2091,bykaranteli.com
2026-09-04,1000FLOKIUSDT,gate,2534,0,7,1433,bykaranteli.com
2026-09-04,1000FLOKIUSDT,htx,60,0,2,58,bykaranteli.com
2026-09-04,1000FLOKIUSDT,okx,402,0,4,168,bykaranteli.com
2026-09-04,1000LUNCUSDT,binance,20259,0,19,6028,bykaranteli.com
2026-09-04,1000LUNCUSDT,bybit,1346,0,3,1003,bykaranteli.com
2026-09-04,1000LUNCUSDT,gate,774,0,4,702,bykaranteli.com
2026-09-04,1000NEIROCTOUSDT,bybit,2599,0,5,1764,bykaranteli.com
2026-09-04,1000PEPEUSDT,aster,5258,12556,6,12556,bykaranteli.com
2026-09-04,1000PEPEUSDT,binance,1018682,81713,208,291782,bykaranteli.com
2026-09-04,1000PEPEUSDT,bybit,514214,91164,132,153783,bykaranteli.com
2026-09-04,1000PEPEUSDT,gate,189025,6477,44,79480,bykaranteli.com
2026-09-04,1000PEPEUSDT,htx,9364,4473,16,4473,bykaranteli.com
2026-09-04,1000PEPEUSDT,okx,237597,17627,111,43488,bykaranteli.com
2026-09-04,1000RATSUSDT,binance,1490,142,9,854,bykaranteli.com
2026-09-04,1000RATSUSDT,bybit,100,56,3,98,bykaranteli.com
2026-09-04,1000SATSUSDT,binance,3260,0,13,1214,bykaranteli.com
2026-09-04,1000SATSUSDT,bybit,9195,0,3,8380,bykaranteli.com
2026-09-04,1000SATSUSDT,gate,99,0,4,94,bykaranteli.com
2026-09-04,1000SATSUSDT,okx,2805,0,9,2258,bykaranteli.com
2026-09-04,1000SHIBUSDT,aster,6011,0,2,5744,bykaranteli.com
2026-09-04,1000SHIBUSDT,binance,88635,3097,45,24424,bykaranteli.com
2026-09-04,1000SHIBUSDT,bybit,9481,518,12,3370,bykaranteli.com
2026-09-04,1000SHIBUSDT,gate,24354,0,15,16890,bykaranteli.com
2026-09-04,1000SHIBUSDT,htx,2492,0,11,1046,bykaranteli.com
2026-09-04,1000SHIBUSDT,okx,22041,557,21,6634,bykaranteli.com
2026-09-04,1000TOSHIUSDT,bybit,19,0,1,19,bykaranteli.com
2026-09-04,1000XECUSDT,binance,810,5384,6,5310,bykaranteli.com
2026-09-04,1000XECUSDT,bybit,435,0,2,337,bykaranteli.com
2026-09-04,1INCHUSDT,binance,35,2669,3,2646,bykaranteli.com
2026-09-04,1INCHUSDT,bybit,1541,201,3,1452,bykaranteli.com
2026-09-04,1INCHUSDT,okx,1678,11,3,1672,bykaranteli.com
2026-09-04,1MBABYDOGEUSDT,binance,5111,42,6,3150,bykaranteli.com
2026-09-04,2ZUSDT,binance,681,0,10,468,bykaranteli.com
2026-09-04,2ZUSDT,bybit,1606,0,3,1461,bykaranteli.com
2026-09-04,2ZUSDT,gate,25,0,2,15,bykaranteli.com
2026-09-04,2ZUSDT,okx,2929,0,4,1121,bykaranteli.com
2026-09-04,4USDT,binance,137355,209506,477,12851,bykaranteli.com
2026-09-04,4USDT,bybit,1964,7893,50,2116,bykaranteli.com
2026-09-04,4USDT,gate,992,851,24,263,bykaranteli.com
2026-09-04,AAOIUSDT,binance,1000,5,2,1000,bykaranteli.com
2026-09-04,AAOIUSDT,bybit,3871,0,1,3871,bykaranteli.com
2026-09-04,AAOIUSDT,gate,1091,0,4,399,bykaranteli.com
2026-09-04,AAOIUSDT,okx,516,949,6,915,bykaranteli.com
2026-09-04,AAPLUSDT,binance,5689,0,12,2014,bykaranteli.com
2026-09-04,AAPLUSDT,bybit,8173,0,7,4909,bykaranteli.com
2026-09-04,AAPLUSDT,gate,179,0,2,159,bykaranteli.com
2026-09-04,AAPLUSDT,okx,4524,819,10,3791,bykaranteli.com
2026-09-04,AAPLXUSDT,gate,13,0,1,13,bykaranteli.com
2026-09-04,AAVEUSDT,binance,75555,30110,45,25218,bykaranteli.com
2026-09-04,AAVEUSDT,bybit,212610,1288,46,135260,bykaranteli.com
2026-09-04,AAVEUSDT,dydx,7042,0,3,2591,bykaranteli.com
2026-09-04,AAVEUSDT,gate,13574,0,7,6592,bykaranteli.com
2026-09-04,AAVEUSDT,okx,56310,6245,33,25236,bykaranteli.com
2026-09-04,ACEUSDT,binance,29803,3729,67,4585,bykaranteli.com
2026-09-04,ACEUSDT,bybit,3398,1088,10,2950,bykaranteli.com
2026-09-04,ACEUSDT,gate,964,0,7,432,bykaranteli.com
2026-09-04,ACEUSDT,htx,1479,0,1,1479,bykaranteli.com
2026-09-04,ACHUSDT,binance,617,7,5,393,bykaranteli.com
2026-09-04,ACHUSDT,bybit,207,0,1,207,bykaranteli.com
2026-09-04,ACTUSDT,binance,8,30,2,30,bykaranteli.com
2026-09-04,ACTUSDT,bybit,301,0,1,301,bykaranteli.com
2026-09-04,ACTUSDT,okx,1569,8,2,1569,bykaranteli.com
