date,currency,instrument,expiry,strike,type,open_interest,mark_iv,underlying_usd
2026-08-18,BTC,BTC-18AUG26-56000-P,18AUG26,56000,put,5,52.11,64394.8
2026-08-18,BTC,BTC-18AUG26-56000-C,18AUG26,56000,call,0,52.11,64394.8
2026-08-18,BTC,BTC-18AUG26-57000-C,18AUG26,57000,call,0,52.1,64394.8
2026-08-18,BTC,BTC-18AUG26-57000-P,18AUG26,57000,put,0,52.1,64394.8
2026-08-18,BTC,BTC-18AUG26-58000-C,18AUG26,58000,call,0,52.1,64394.8
2026-08-18,BTC,BTC-18AUG26-58000-P,18AUG26,58000,put,7.7,52.1,64394.8
2026-08-18,BTC,BTC-18AUG26-59000-C,18AUG26,59000,call,0,52.09,64394.8
2026-08-18,BTC,BTC-18AUG26-59000-P,18AUG26,59000,put,60.9,52.09,64394.8
2026-08-18,BTC,BTC-18AUG26-60000-C,18AUG26,60000,call,0,46.96,64394.8
2026-08-18,BTC,BTC-18AUG26-60000-P,18AUG26,60000,put,134.4,46.96,64394.8
2026-08-18,BTC,BTC-18AUG26-60500-C,18AUG26,60500,call,0,45.22,64394.8
2026-08-18,BTC,BTC-18AUG26-60500-P,18AUG26,60500,put,119.9,45.22,64394.8
2026-08-18,BTC,BTC-18AUG26-61000-C,18AUG26,61000,call,0,42.65,64394.8
2026-08-18,BTC,BTC-18AUG26-61000-P,18AUG26,61000,put,196.3,42.65,64394.8
2026-08-18,BTC,BTC-18AUG26-61500-C,18AUG26,61500,call,0,35.9,64394.8
2026-08-18,BTC,BTC-18AUG26-61500-P,18AUG26,61500,put,104.7,35.9,64394.8
2026-08-18,BTC,BTC-18AUG26-62000-C,18AUG26,62000,call,0,31.69,64394.8
2026-08-18,BTC,BTC-18AUG26-62000-P,18AUG26,62000,put,128.8,31.69,64394.8
2026-08-18,BTC,BTC-18AUG26-62500-C,18AUG26,62500,call,10.1,28.03,64394.8
2026-08-18,BTC,BTC-18AUG26-62500-P,18AUG26,62500,put,146.4,28.03,64394.8
2026-08-18,BTC,BTC-18AUG26-63000-C,18AUG26,63000,call,51.7,27.71,64394.8
2026-08-18,BTC,BTC-18AUG26-63000-P,18AUG26,63000,put,189.6,27.71,64394.8
2026-08-18,BTC,BTC-18AUG26-63500-C,18AUG26,63500,call,66.4,26.23,64394.8
2026-08-18,BTC,BTC-18AUG26-63500-P,18AUG26,63500,put,250.7,26.23,64394.8
2026-08-18,BTC,BTC-18AUG26-64000-C,18AUG26,64000,call,150.1,20.18,64394.8
2026-08-18,BTC,BTC-18AUG26-64000-P,18AUG26,64000,put,212.6,20.18,64394.8
2026-08-18,BTC,BTC-18AUG26-64500-C,18AUG26,64500,call,293.4,17.25,64394.8
2026-08-18,BTC,BTC-18AUG26-64500-P,18AUG26,64500,put,5.4,17.25,64394.8
2026-08-18,BTC,BTC-18AUG26-65000-C,18AUG26,65000,call,228.7,19.53,64394.8
2026-08-18,BTC,BTC-18AUG26-65000-P,18AUG26,65000,put,0,19.53,64394.8
2026-08-18,BTC,BTC-18AUG26-66000-C,18AUG26,66000,call,21,28.95,64394.8
2026-08-18,BTC,BTC-18AUG26-66000-P,18AUG26,66000,put,0,28.95,64394.8
2026-08-18,BTC,BTC-18AUG26-67000-C,18AUG26,67000,call,8.3,28.98,64394.8
2026-08-18,BTC,BTC-18AUG26-67000-P,18AUG26,67000,put,0,28.98,64394.8
2026-08-18,BTC,BTC-18AUG26-68000-C,18AUG26,68000,call,2.1,31.43,64394.8
2026-08-18,BTC,BTC-18AUG26-68000-P,18AUG26,68000,put,0,31.43,64394.8
2026-08-18,BTC,BTC-18AUG26-69000-C,18AUG26,69000,call,0,36.73,64394.8
2026-08-18,BTC,BTC-18AUG26-69000-P,18AUG26,69000,put,0,36.73,64394.8
2026-08-18,BTC,BTC-18AUG26-70000-C,18AUG26,70000,call,0.1,41.65,64394.8
2026-08-18,BTC,BTC-18AUG26-70000-P,18AUG26,70000,put,0,41.65,64394.8
2026-08-18,BTC,BTC-19AUG26-56000-C,19AUG26,56000,call,0,58.02,64400.61
2026-08-18,BTC,BTC-19AUG26-56000-P,19AUG26,56000,put,0.9,58.02,64400.61
2026-08-18,BTC,BTC-19AUG26-57000-C,19AUG26,57000,call,0,57.04,64400.61
2026-08-18,BTC,BTC-19AUG26-57000-P,19AUG26,57000,put,6.2,57.04,64400.61
2026-08-18,BTC,BTC-19AUG26-58000-C,19AUG26,58000,call,0,50.87,64400.61
2026-08-18,BTC,BTC-19AUG26-58000-P,19AUG26,58000,put,23,50.87,64400.61
2026-08-18,BTC,BTC-19AUG26-59000-C,19AUG26,59000,call,0,50.5,64400.61
2026-08-18,BTC,BTC-19AUG26-59000-P,19AUG26,59000,put,14.7,50.5,64400.61
2026-08-18,BTC,BTC-19AUG26-60000-C,19AUG26,60000,call,0,41.81,64400.61
2026-08-18,BTC,BTC-19AUG26-60000-P,19AUG26,60000,put,22.5,41.81,64400.61
2026-08-18,BTC,BTC-19AUG26-60500-C,19AUG26,60500,call,0,37.18,64400.61
2026-08-18,BTC,BTC-19AUG26-60500-P,19AUG26,60500,put,15.2,37.18,64400.61
2026-08-18,BTC,BTC-19AUG26-61000-C,19AUG26,61000,call,0,36.97,64400.61
2026-08-18,BTC,BTC-19AUG26-61000-P,19AUG26,61000,put,49.2,36.97,64400.61
2026-08-18,BTC,BTC-19AUG26-61500-C,19AUG26,61500,call,0,36.58,64400.61
