date,symbol,venue,mid_usd,bid_usd_2pct,ask_usd_2pct,cover_bid_pct,cover_ask_pct,levels,bids_usd_0p1pct_bins,asks_usd_0p1pct_bins,source
2026-09-03,ADA,binance,0.2013,526217,407063,5,5,6086,"[42075,58038,64503,33194,35356,55304,80855,54365,11401,5952,7458,22058,4744,5528,13472,12370,5770,2412,9668,1693,2266,3591,8337,2561,6685,3006,11224,8211,6112,216,7511,66864,492,27799,312,1069,93866,308,810,9473,14384,360,123,12425,908,8291,320,532,359,74465]","[49496,52957,36869,92022,29142,25524,33186,24020,6684,3885,12609,2825,2138,3479,10181,1813,1193,5671,12550,817,1212,5348,24042,2655,766,266,2010,1762,1003,744,628,632,330,1466,669,1693,419,1131,7614,23246,1469,261,6095,25936,609,5378,694,2084,1455,1121]",bykaranteli-depth-snapshot
2026-09-03,ADA,bybit,0.2013,208128,269616,5,5,400,"[7214,81566,37498,10728,21345,4742,10873,9619,3804,6866,1823,1096,3462,782,428,1570,1252,1461,1232,766,40381,870,955,1319,101,182,147,49,76,51,36,438,13,40,62,44,158,124,129,193,1209,46,15,12689,24,2587,44,340,38,139]","[17995,76872,45157,7778,5976,4214,74730,3114,5477,2202,875,3065,35,7040,2773,68,594,463,11070,117,30,476,141,293,149,45,171,77,182,283,78,203,175,656,26,91,191,50,328,148,122,714,144,548,253,84,2715,660,234,285]",bykaranteli-depth-snapshot
2026-09-03,ADA,coinbase,0.2012,703725,404109,5,5,8301,"[21010,163704,28280,76339,51462,46408,72975,57053,51337,42896,89037,82,0,12,14,4,100,202,2798,12,1102,1,15,16,7,1789,2,77,18,4,797,25,0,1016,146,50802,11,11,18,3050,29544,9,116,2054,788,197,1070,12,101,1380]","[23360,212266,78261,34484,30177,1961,2325,5265,50,605,4,12,814,18,1504,3124,451,423,1143,7862,74,1686,867,380,382,24,271,39,71,48806,46,379,129,702,65,85,135,1951,431,18,4,326,74,3892,30,11,74,16,4794,156]",bykaranteli-depth-snapshot
2026-09-03,ADA,kraken,0.2011,1001222,774573,5,5,1000,"[59136,34967,71506,108582,106701,168536,133289,64431,117274,49176,21153,60383,485,502,1740,0,466,0,2889,5,3751,4,8934,1286,9,2297,0,0,6292,5121,35871,9,0,276,0,1907,0,0,13,0,2865,3260,17,0,0,7350,1352,20,0,12490]","[50998,75727,55312,50074,64784,102564,81409,129278,87031,49534,10859,1141,43,0,3950,48,291,105,6374,5051,2550,8352,9421,49,213,445,253,667,122,18292,21854,140,0,132,1403,44,364,30,4645,461,9,6,820,0,2776,0,1294,1318,9,0]",bykaranteli-depth-snapshot
2026-09-03,ADA,okx,0.2013,403709,404846,5,5,800,"[12503,45721,31368,46720,88054,19408,15772,6797,32932,4194,26830,57226,463,199,392,416,12619,1094,504,496,44,1234,303,1259,45,22,492,243,125,114,59,1127,30,211,515,42,3018,766,1900,486,1286,11296,46,1054,67,1472,42,561,300,463]","[18287,54372,39351,20111,19042,23307,23876,3778,34323,3575,145372,4049,135,1998,11136,191,32,26,1499,386,534,1579,754,2579,49,523,344,1543,1299,66,70,188,161,564,14,172,1284,404,3533,32,11149,159,391,3546,60,84,123,149,5253,664]",bykaranteli-depth-snapshot
2026-09-03,AVAX,binance,7.1895,302679,425568,5,5,6443,"[35248,53430,45459,22941,42505,11449,43493,837,414,6336,2199,813,4945,2427,359,718,3966,12569,3631,8940,4194,341,6047,8098,12318,780,36621,1487,2081,8434,1067,5168,3893,3044,8175,52,2641,9289,20354,195,7046,30726,5632,11991,414,387,540,12077,588,269]","[55151,86830,39132,69909,12586,48975,7156,60121,4515,5691,179,2554,705,6706,617,2777,597,68,16214,5086,1268,197,3999,626,1862,8707,4155,5426,1825,21185,90,999,1758,272,927,7381,4010,28517,4794,2398,2961,460,352,9609,375,1012,393,356,146,714]",bykaranteli-depth-snapshot
2026-09-03,AVAX,bybit,7.1895,159033,105643,4.21,3.97,400,"[14741,19477,15397,6361,184,1013,67,38779,572,593,3713,93,14490,1712,296,101,39,78,101,41223,2460,16,148,315,912,82,1876,59,17,90,93,267,71,4628,54,30,93,1285,47,226,1166,368,203,0,0,0,0,0,0,0]","[10392,17022,14154,4770,8840,3419,729,40013,478,132,94,195,443,177,1055,301,331,126,2828,143,1109,148,572,258,93,538,51,183,32,469,668,31,1241,207,66,160,521,134,258,408,0,0,0,0,0,0,0,0,0,0]",bykaranteli-depth-snapshot
2026-09-03,AVAX,coinbase,7.1855,650214,461741,5,5,5806,"[36313,47810,104871,68523,70750,67272,30278,70009,31202,95838,22004,4,873,787,1838,78,66,63,174,1459,290,1366,1106,1845,446,13013,21,2716,1474,99,1,1377,3880,560,168,1512,2686,3,19,1665,8,5346,144,75,49,172,5068,125,0,1204]","[15513,76134,70698,36561,9607,76224,23134,24331,16669,84708,1225,23256,243,1246,598,42,54,796,670,33,4642,144,4173,7,103,7,22,5619,486,167344,14,39,5208,7,7,162,46701,9,318,50,184,351,274,22716,592,11,59,103,273,43]",bykaranteli-depth-snapshot
2026-09-03,AVAX,kraken,7.186,1106722,590983,5,5,1000,"[55214,61767,86986,171636,59764,107171,10384,9751,27773,215697,130127,8337,0,39409,417,120901,10,1248,98,31,134,23,10,2185,18214,4155,0,25721,379,14519,269343,1043,5192,83,38,50,244,15,170,3985,53,256,85,150,164,287,46,98,52,1039]","[35484,48120,33253,44988,91821,70880,13396,20007,8313,10065,52976,115518,18702,38,10098,17231,71,19,5,0,34,7566,48,120,60,0,7,49,9132,64,21547,23732,45,436,0,67,46,0,109,51,0,0,59,8188,692,35,0,1079,10407,409]",bykaranteli-depth-snapshot
2026-09-03,AVAX,okx,7.1895,305474,373360,5,5,800,"[21853,31063,22770,25543,48131,16484,22561,14874,35,51662,46256,213,2867,92,24,76,259,127,562,23,4607,12,87,178,9412,386,1442,1562,147,355,309,277,1710,183,57,107,3326,1814,24,153,17906,5026,48,374,131,3356,121,268,1108,383]","[19197,18627,23019,9858,55211,15108,877,53064,1307,564,112967,47280,1979,1053,110,725,926,215,10344,932,266,267,26,40,223,47,290,1178,68,28,121,361,238,55,851,7,2117,68,104,23,365,128,15,5038,64,1103,12,431,52,57]",bykaranteli-depth-snapshot
2026-09-03,BNB,binance,688.715,4268455,6602363,5,5,10000,"[242409,177837,262473,411952,117356,394570,477311,193722,393026,24755,181493,21444,215761,87430,17476,216438,5219,433756,245559,148467,43194,56131,84380,38888,138051,64894,26089,258757,167607,22910,101476,24843,139551,7469,53018,29823,7325,56962,24894,17584,47793,263092,12150,74568,137272,11127,70192,75981,121812,4986]","[408585,698210,155656,477270,193812,144870,356961,526570,286940,360930,270309,10939,112256,180509,744502,14398,857319,150217,592488,59620,51177,25878,85207,112990,14576,51333,21957,9509,117132,54199,421213,18873,79589,70396,14836,60452,42569,8081,607481,38175,28468,19265,316711,158102,89282,924690,67168,15555,73372,35664]",bykaranteli-depth-snapshot
2026-09-03,BNB,bybit,688.75,270065,281182,3.64,3.58,400,"[38398,178136,13741,9741,894,10739,417,38,582,195,10851,1037,923,517,548,903,806,426,170,1001,483,763,1318,1076,596,21190,1587,2243,1313,522,1126,202,67135,415,1657,1501,101,0,0,0,0,0,0,0,0,0,0,0,0,0]","[29574,187126,13652,6294,3317,4388,7006,1687,1417,18271,577,1596,405,1442,1013,509,868,537,544,959,5979,352,284,5406,1798,995,1574,869,166,368,2078,899,338,717,379,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",bykaranteli-depth-snapshot
2026-09-03,BNB,okx,688.75,528643,796258,5,5,800,"[137395,73093,67982,55676,9575,26891,5708,15103,31101,66942,2231,5533,3097,989,3657,725,1254,6130,11438,4122,1620,1937,7960,694,4937,3296,317,22268,6506,694,4262,1568,881,3254,2715,2147,1630,3274,1186,1924,972,7755,826,2108,2683,364,935,3094,286,20905]","[132739,93605,75918,20097,33559,26189,793,26948,1169,20249,218179,712,3219,4757,422,2034,18906,101598,7578,7584,2370,1824,4276,5005,11858,2134,1475,5452,2355,2474,8174,1158,2286,3942,410,39487,23140,2487,15118,1072,525,5184,3891,6586,4130,31845,1542,1176,615,2619]",bykaranteli-depth-snapshot
2026-09-03,BTC,binance,77317.695,24443287,22558131,1.35,1.07,10000,"[6550650,3341982,1275428,1626706,1657849,541662,583591,542080,960200,687661,3614440,603064,1321294,1136680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[8209454,1964487,2154688,2409186,1533835,580671,949856,1288172,2480281,332692,654809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",bykaranteli-depth-snapshot
2026-09-03,BTC,bybit,77314.15,2219720,1683242,0.19,0.13,400,"[1402132,817588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[1241680,441562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",bykaranteli-depth-snapshot
2026-09-03,BTC,coinbase,77287.085,26836194,19071508,5,5,44290,"[2215492,4002278,1926854,2035348,4284942,301971,147666,258163,147752,212766,837191,86525,509838,674004,1123089,862829,6119910,171229,564641,353707,137409,381932,473330,898202,199605,140062,191854,557000,917859,4535919,311723,389288,386080,192617,324247,190532,707305,256013,273785,655559,344547,195012,1598555,207996,222359,358898,111138,196907,180890,1731828]","[1871438,3854694,935372,3005240,5762553,72176,483405,51593,123200,519609,333485,216689,138047,197366,96673,343551,230893,125155,57082,653287,2435479,22143,8670181,188710,438782,320574,330208,82453,1221117,135742,62120,3119700,78482,698417,233474,2796515,35182,278256,581284,21062,156262,484783,89537,72741,90525,83792,324625,33452,4550019,395798]",bykaranteli-depth-snapshot
2026-09-03,BTC,kraken,77281.35,22801052,24175077,1.81,1.16,1000,"[3761454,3887412,3993098,1719407,1715500,214389,470354,440107,185615,28640,2028793,203072,190682,324199,10280,199563,3363888,55189,9410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[5985917,4008051,1812605,2298937,6952095,1198971,324203,519192,571224,87600,187746,228536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",bykaranteli-depth-snapshot
2026-09-03,BTC,okx,77316.65,5043721,2993500,0.27,0.15,800,"[2451880,2418207,173634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[2220375,773125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",bykaranteli-depth-snapshot
