date,symbol,exchange,metric,value,source
2026-09-03,1000PEPEUSDT,binance,global_ls_ratio,1.4777,exchange-published
2026-09-03,1000PEPEUSDT,binance,taker_buy_sell_ratio,1.2554,exchange-published
2026-09-03,1000PEPEUSDT,binance,top_account_ls_ratio,1.7632,exchange-published
2026-09-03,1000PEPEUSDT,binance,top_position_ls_ratio,2.4488,exchange-published
2026-09-03,1000PEPEUSDT,bybit,buy_ratio_pct,76.55,exchange-published
2026-09-03,1000PEPEUSDT,okx,top_position_ls_ratio,1.3909,exchange-published
2026-09-03,AAVEUSDT,binance,global_ls_ratio,1.4102,exchange-published
2026-09-03,AAVEUSDT,binance,taker_buy_sell_ratio,0.8653,exchange-published
2026-09-03,AAVEUSDT,binance,top_account_ls_ratio,1.5208,exchange-published
2026-09-03,AAVEUSDT,binance,top_position_ls_ratio,1.9906,exchange-published
2026-09-03,AAVEUSDT,bybit,buy_ratio_pct,62.71,exchange-published
2026-09-03,AAVEUSDT,okx,top_position_ls_ratio,1.2174,exchange-published
2026-09-03,ACEUSDT,binance,global_ls_ratio,0.7848,exchange-published
2026-09-03,ACEUSDT,binance,taker_buy_sell_ratio,1.5437,exchange-published
2026-09-03,ACEUSDT,binance,top_account_ls_ratio,0.9573,exchange-published
2026-09-03,ACEUSDT,binance,top_position_ls_ratio,1.3038,exchange-published
2026-09-03,ACEUSDT,bybit,buy_ratio_pct,59.96,exchange-published
2026-09-03,ADAUSDT,binance,global_ls_ratio,1.7724,exchange-published
2026-09-03,ADAUSDT,binance,taker_buy_sell_ratio,0.9476,exchange-published
2026-09-03,ADAUSDT,binance,top_account_ls_ratio,2.2227,exchange-published
2026-09-03,ADAUSDT,binance,top_position_ls_ratio,1.7957,exchange-published
2026-09-03,ADAUSDT,bybit,buy_ratio_pct,69.28,exchange-published
2026-09-03,ADAUSDT,okx,top_position_ls_ratio,1.0064,exchange-published
2026-09-03,AKEUSDT,binance,global_ls_ratio,0.6064,exchange-published
2026-09-03,AKEUSDT,binance,taker_buy_sell_ratio,1.0215,exchange-published
