date,symbol,us_close_usd,global_close_usd,premium_pct,source
2017-08-17,BTC,4280.01,4285.08,-0.1183,bykaranteli.com
2017-08-17,ETH,300.67,302,-0.4404,bykaranteli.com
2017-08-18,BTC,4101.72,4108.37,-0.1619,bykaranteli.com
2017-08-18,ETH,292.87,293.96,-0.3708,bykaranteli.com
2017-08-19,BTC,4157.41,4139.98,0.421,bykaranteli.com
2017-08-19,ETH,293.58,290.91,0.9178,bykaranteli.com
2017-08-20,BTC,4050.99,4086.29,-0.8639,bykaranteli.com
2017-08-20,ETH,297.79,299.1,-0.438,bykaranteli.com
2017-08-21,BTC,4002,4016,-0.3486,bykaranteli.com
2017-08-21,ETH,322,323.29,-0.399,bykaranteli.com
2017-08-22,BTC,4092,4040,1.2871,bykaranteli.com
2017-08-22,ETH,314.19,309.8,1.417,bykaranteli.com
2017-08-23,BTC,4143.49,4114.01,0.7166,bykaranteli.com
2017-08-23,ETH,317.5,315.74,0.5574,bykaranteli.com
2017-08-24,BTC,4312.03,4316.01,-0.0922,bykaranteli.com
2017-08-24,ETH,324.56,323.42,0.3525,bykaranteli.com
2017-08-25,BTC,4360,4280.68,1.853,bykaranteli.com
2017-08-25,ETH,330.14,327.24,0.8862,bykaranteli.com
2017-08-26,BTC,4344.32,4337.44,0.1586,bykaranteli.com
2017-08-26,ETH,332.99,330.79,0.6651,bykaranteli.com
2017-08-27,BTC,4340.11,4310.01,0.6984,bykaranteli.com
2017-08-27,ETH,348.2,348.13,0.0201,bykaranteli.com
2017-08-28,BTC,4384.99,4386.69,-0.0388,bykaranteli.com
2017-08-28,ETH,347.54,346,0.4451,bykaranteli.com
2017-08-29,BTC,4599,4587.48,0.2511,bykaranteli.com
2017-08-29,ETH,372.48,374.7,-0.5925,bykaranteli.com
2017-08-30,BTC,4581.98,4555.14,0.5892,bykaranteli.com
2017-08-30,ETH,384.1,385.93,-0.4742,bykaranteli.com
2017-08-31,BTC,4743.94,4724.89,0.4032,bykaranteli.com
2017-08-31,ETH,389.2,384.79,1.1461,bykaranteli.com
2017-09-01,BTC,4947.99,4834.91,2.3388,bykaranteli.com
2017-09-01,ETH,392.87,388.46,1.1353,bykaranteli.com
2017-09-02,BTC,4649.99,4472.14,3.9768,bykaranteli.com
2017-09-02,ETH,354.87,343.14,3.4184,bykaranteli.com
2017-09-03,BTC,4626.05,4509.08,2.5941,bykaranteli.com
2017-09-03,ETH,353.06,341.77,3.3034,bykaranteli.com
2017-09-04,BTC,4498.25,4100.11,9.7105,bykaranteli.com
2017-09-04,ETH,316.86,283.77,11.6609,bykaranteli.com
2017-09-05,BTC,4432.51,4366.47,1.5124,bykaranteli.com
2017-09-05,ETH,320.08,312.09,2.5602,bykaranteli.com
2017-09-06,BTC,4616.18,4619.77,-0.0777,bykaranteli.com
2017-09-06,ETH,339.38,335,1.3075,bykaranteli.com
2017-09-07,BTC,4624.18,4691.61,-1.4372,bykaranteli.com
2017-09-07,ETH,335.56,334.49,0.3199,bykaranteli.com
2017-09-08,BTC,4350,4282.8,1.5691,bykaranteli.com
2017-09-08,ETH,307.96,302.99,1.6403,bykaranteli.com
2017-09-09,BTC,4334.36,4258.81,1.774,bykaranteli.com
2017-09-09,ETH,304.99,296.74,2.7802,bykaranteli.com
2017-09-10,BTC,4251.36,4130.37,2.9293,bykaranteli.com
2017-09-10,ETH,300.33,293.5,2.3271,bykaranteli.com
2017-09-11,BTC,4210.72,4208.47,0.0535,bykaranteli.com
2017-09-11,ETH,298.47,297.3,0.3935,bykaranteli.com
2017-09-12,BTC,4164.52,4163.72,0.0192,bykaranteli.com
2017-09-12,ETH,294.5,293.96,0.1837,bykaranteli.com
2017-09-13,BTC,3855.32,3944.69,-2.2656,bykaranteli.com
2017-09-13,ETH,275.71,276.91,-0.4334,bykaranteli.com
2017-09-14,BTC,3250.4,3189.02,1.9247,bykaranteli.com
2017-09-14,ETH,223.85,215.21,4.0147,bykaranteli.com
2017-09-15,BTC,3740.02,3700,1.0816,bykaranteli.com
2017-09-15,ETH,260.88,253,3.1146,bykaranteli.com
2017-09-16,BTC,3726.51,3714.95,0.3112,bykaranteli.com
2017-09-16,ETH,255.84,249.31,2.6192,bykaranteli.com
2017-09-17,BTC,3719.97,3699.99,0.54,bykaranteli.com
2017-09-17,ETH,259.66,257.55,0.8193,bykaranteli.com
2017-09-18,BTC,4100,4035.01,1.6107,bykaranteli.com
2017-09-18,ETH,298,294.57,1.1644,bykaranteli.com
2017-09-19,BTC,3910.11,3910.04,0.0018,bykaranteli.com
2017-09-19,ETH,282.8,284,-0.4225,bykaranteli.com
2017-09-20,BTC,3872.06,3900,-0.7164,bykaranteli.com
2017-09-20,ETH,283.55,282,0.5496,bykaranteli.com
2017-09-21,BTC,3617.47,3609.99,0.2072,bykaranteli.com
2017-09-21,ETH,258.11,257,0.4319,bykaranteli.com
2017-09-22,BTC,3619.01,3595.87,0.6435,bykaranteli.com
2017-09-22,ETH,263.88,264,-0.0455,bykaranteli.com
2017-09-23,BTC,3787.33,3780,0.1939,bykaranteli.com
2017-09-23,ETH,286.03,285.93,0.035,bykaranteli.com
2017-09-24,BTC,3669.01,3660.02,0.2456,bykaranteli.com
2017-09-24,ETH,283.21,282,0.4291,bykaranteli.com
2017-09-25,BTC,3919.78,3920.75,-0.0247,bykaranteli.com
2017-09-25,ETH,294.41,294.42,-0.0034,bykaranteli.com
2017-09-26,BTC,3885.09,3882.35,0.0706,bykaranteli.com
2017-09-26,ETH,288.77,287.9,0.3022,bykaranteli.com
2017-09-27,BTC,4200,4193,0.1669,bykaranteli.com
2017-09-27,ETH,309.85,309.74,0.0355,bykaranteli.com
2017-09-28,BTC,4189.42,4174.5,0.3574,bykaranteli.com
2017-09-28,ETH,302.33,302.44,-0.0364,bykaranteli.com
2017-09-29,BTC,4156.99,4174.69,-0.424,bykaranteli.com
2017-09-29,ETH,291.88,292.22,-0.1164,bykaranteli.com
