date,symbol,interval,rsi,close,source
2026-09-05,0GUSDT,12h,59.36,0.1976,bykaranteli.com
2026-09-05,0GUSDT,15m,58.97,0.1976,bykaranteli.com
2026-09-05,0GUSDT,1d,59.15,0.1976,bykaranteli.com
2026-09-05,0GUSDT,1h,59.24,0.1976,bykaranteli.com
2026-09-05,0GUSDT,1w,29.34,0.1976,bykaranteli.com
2026-09-05,0GUSDT,3d,45.72,0.1976,bykaranteli.com
2026-09-05,0GUSDT,4h,55.9,0.1976,bykaranteli.com
2026-09-05,1000BONKUSDT,12h,61.86,0.003239,bykaranteli.com
2026-09-05,1000BONKUSDT,15m,63.11,0.003239,bykaranteli.com
2026-09-05,1000BONKUSDT,1M,45.17,0.003239,bykaranteli.com
2026-09-05,1000BONKUSDT,1d,60.16,0.003239,bykaranteli.com
2026-09-05,1000BONKUSDT,1h,61.33,0.003239,bykaranteli.com
2026-09-05,1000BONKUSDT,1w,39.36,0.003239,bykaranteli.com
2026-09-05,1000BONKUSDT,3d,46.49,0.003239,bykaranteli.com
2026-09-05,1000BONKUSDT,4h,62.05,0.003239,bykaranteli.com
2026-09-05,1000CATUSDT,12h,62.65,0.002011,bykaranteli.com
2026-09-05,1000CATUSDT,15m,57.21,0.002011,bykaranteli.com
2026-09-05,1000CATUSDT,1M,31.64,0.002011,bykaranteli.com
2026-09-05,1000CATUSDT,1d,62.98,0.002011,bykaranteli.com
2026-09-05,1000CATUSDT,1h,62.62,0.002011,bykaranteli.com
2026-09-05,1000CATUSDT,1w,49.71,0.002011,bykaranteli.com
2026-09-05,1000CATUSDT,3d,60.36,0.002011,bykaranteli.com
2026-09-05,1000CATUSDT,4h,65.9,0.002011,bykaranteli.com
2026-09-05,1000FLOKIUSDT,12h,52.06,0.02519,bykaranteli.com
2026-09-05,1000FLOKIUSDT,15m,58.71,0.02519,bykaranteli.com
2026-09-05,1000FLOKIUSDT,1M,43.57,0.02519,bykaranteli.com
2026-09-05,1000FLOKIUSDT,1d,55.67,0.02519,bykaranteli.com
2026-09-05,1000FLOKIUSDT,1h,48.89,0.02519,bykaranteli.com
2026-09-05,1000FLOKIUSDT,1w,44.99,0.02519,bykaranteli.com
2026-09-05,1000FLOKIUSDT,3d,54.06,0.02519,bykaranteli.com
2026-09-05,1000FLOKIUSDT,4h,51.85,0.02519,bykaranteli.com
2026-09-05,1000LUNCUSDT,12h,46.74,0.05123,bykaranteli.com
2026-09-05,1000LUNCUSDT,15m,57.99,0.05123,bykaranteli.com
2026-09-05,1000LUNCUSDT,1M,42.02,0.05123,bykaranteli.com
2026-09-05,1000LUNCUSDT,1d,47.6,0.05123,bykaranteli.com
2026-09-05,1000LUNCUSDT,1h,46.91,0.05123,bykaranteli.com
2026-09-05,1000LUNCUSDT,1w,46.59,0.05123,bykaranteli.com
2026-09-05,1000LUNCUSDT,3d,44.05,0.05123,bykaranteli.com
2026-09-05,1000LUNCUSDT,4h,47.1,0.05123,bykaranteli.com
2026-09-05,1000PEPEUSDT,12h,48.22,0.0035124,bykaranteli.com
2026-09-05,1000PEPEUSDT,15m,38.92,0.0035124,bykaranteli.com
2026-09-05,1000PEPEUSDT,1M,44.81,0.0035124,bykaranteli.com
2026-09-05,1000PEPEUSDT,1d,53.37,0.0035124,bykaranteli.com
2026-09-05,1000PEPEUSDT,1h,41.25,0.0035124,bykaranteli.com
2026-09-05,1000PEPEUSDT,1w,49.36,0.0035124,bykaranteli.com
2026-09-05,1000PEPEUSDT,3d,56.88,0.0035124,bykaranteli.com
2026-09-05,1000PEPEUSDT,4h,45.71,0.0035124,bykaranteli.com
2026-09-05,1000RATSUSDT,12h,52.22,0.04193,bykaranteli.com
2026-09-05,1000RATSUSDT,15m,63.63,0.04193,bykaranteli.com
2026-09-05,1000RATSUSDT,1M,36.5,0.04193,bykaranteli.com
2026-09-05,1000RATSUSDT,1d,51.59,0.04193,bykaranteli.com
2026-09-05,1000RATSUSDT,1h,59.18,0.04193,bykaranteli.com
2026-09-05,1000RATSUSDT,1w,52.57,0.04193,bykaranteli.com
2026-09-05,1000RATSUSDT,3d,52.58,0.04193,bykaranteli.com
2026-09-05,1000RATSUSDT,4h,60.87,0.04193,bykaranteli.com
2026-09-05,1000SATSUSDT,12h,47.49,0.00001096,bykaranteli.com
2026-09-05,1000SATSUSDT,15m,61.86,0.00001096,bykaranteli.com
2026-09-05,1000SATSUSDT,1M,21.46,0.00001096,bykaranteli.com
2026-09-05,1000SATSUSDT,1d,50.07,0.00001096,bykaranteli.com
2026-09-05,1000SATSUSDT,1h,52.62,0.00001096,bykaranteli.com
2026-09-05,1000SATSUSDT,1w,43.34,0.00001096,bykaranteli.com
2026-09-05,1000SATSUSDT,3d,51.16,0.00001096,bykaranteli.com
2026-09-05,1000SATSUSDT,4h,51.11,0.00001096,bykaranteli.com
2026-09-05,1000SHIBUSDT,12h,52.54,0.005228,bykaranteli.com
2026-09-05,1000SHIBUSDT,15m,54.79,0.005228,bykaranteli.com
2026-09-05,1000SHIBUSDT,1M,40.29,0.005228,bykaranteli.com
2026-09-05,1000SHIBUSDT,1d,54.44,0.005228,bykaranteli.com
2026-09-05,1000SHIBUSDT,1h,45.06,0.005228,bykaranteli.com
2026-09-05,1000SHIBUSDT,1w,47.16,0.005228,bykaranteli.com
2026-09-05,1000SHIBUSDT,3d,55.95,0.005228,bykaranteli.com
2026-09-05,1000SHIBUSDT,4h,49.41,0.005228,bykaranteli.com
2026-09-05,1000XECUSDT,12h,58.31,0.007175,bykaranteli.com
2026-09-05,1000XECUSDT,15m,53.96,0.007175,bykaranteli.com
2026-09-05,1000XECUSDT,1M,32.25,0.007175,bykaranteli.com
2026-09-05,1000XECUSDT,1d,56.32,0.007175,bykaranteli.com
2026-09-05,1000XECUSDT,1h,54.33,0.007175,bykaranteli.com
2026-09-05,1000XECUSDT,1w,48.28,0.007175,bykaranteli.com
2026-09-05,1000XECUSDT,3d,54.8,0.007175,bykaranteli.com
2026-09-05,1000XECUSDT,4h,61.94,0.007175,bykaranteli.com
2026-09-05,1INCHUSDT,12h,55.49,0.09065,bykaranteli.com
2026-09-05,1INCHUSDT,15m,51.14,0.09065,bykaranteli.com
2026-09-05,1INCHUSDT,1M,41.71,0.09065,bykaranteli.com
2026-09-05,1INCHUSDT,1d,57.74,0.09065,bykaranteli.com
2026-09-05,1INCHUSDT,1h,47.88,0.09065,bykaranteli.com
2026-09-05,1INCHUSDT,1w,47.66,0.09065,bykaranteli.com
2026-09-05,1INCHUSDT,3d,59.84,0.09065,bykaranteli.com
2026-09-05,1INCHUSDT,4h,54.54,0.09065,bykaranteli.com
2026-09-05,1MBABYDOGEUSDT,12h,59.07,0.0003824,bykaranteli.com
2026-09-05,1MBABYDOGEUSDT,15m,45.81,0.0003824,bykaranteli.com
2026-09-05,1MBABYDOGEUSDT,1M,29.79,0.0003824,bykaranteli.com
2026-09-05,1MBABYDOGEUSDT,1d,60.35,0.0003824,bykaranteli.com
2026-09-05,1MBABYDOGEUSDT,1h,45.8,0.0003824,bykaranteli.com
2026-09-05,1MBABYDOGEUSDT,1w,46.78,0.0003824,bykaranteli.com
2026-09-05,1MBABYDOGEUSDT,3d,58.53,0.0003824,bykaranteli.com
2026-09-05,1MBABYDOGEUSDT,4h,55.57,0.0003824,bykaranteli.com
2026-09-05,2ZUSDT,12h,39.74,0.05148,bykaranteli.com
2026-09-05,2ZUSDT,15m,51.17,0.05148,bykaranteli.com
2026-09-05,2ZUSDT,1d,42.74,0.05148,bykaranteli.com
2026-09-05,2ZUSDT,1h,40.5,0.05148,bykaranteli.com
2026-09-05,2ZUSDT,1w,31.09,0.05148,bykaranteli.com
2026-09-05,2ZUSDT,3d,39.58,0.05148,bykaranteli.com
2026-09-05,2ZUSDT,4h,36.44,0.05148,bykaranteli.com
2026-09-05,4USDT,12h,71.48,0.023606,bykaranteli.com
2026-09-05,4USDT,15m,57.35,0.023606,bykaranteli.com
2026-09-05,4USDT,1d,73.7,0.023606,bykaranteli.com
2026-09-05,4USDT,1h,71.09,0.023606,bykaranteli.com
2026-09-05,4USDT,1w,51,0.023606,bykaranteli.com
2026-09-05,4USDT,3d,76.65,0.023606,bykaranteli.com
2026-09-05,4USDT,4h,78.86,0.023606,bykaranteli.com
2026-09-05,AAOIUSDT,12h,43.55,105.56,bykaranteli.com
2026-09-05,AAOIUSDT,15m,55.39,105.56,bykaranteli.com
2026-09-05,AAOIUSDT,1d,43.24,105.56,bykaranteli.com
2026-09-05,AAOIUSDT,1h,60.21,105.56,bykaranteli.com
2026-09-05,AAOIUSDT,3d,39.18,105.56,bykaranteli.com
2026-09-05,AAOIUSDT,4h,56.76,105.56,bykaranteli.com
2026-09-05,AAPLUSDT,12h,52.18,320.13,bykaranteli.com
2026-09-05,AAPLUSDT,15m,41.26,320.13,bykaranteli.com
2026-09-05,AAPLUSDT,1d,54.74,320.13,bykaranteli.com
2026-09-05,AAPLUSDT,1h,34.32,320.13,bykaranteli.com
2026-09-05,AAPLUSDT,1w,65.99,320.13,bykaranteli.com
2026-09-05,AAPLUSDT,3d,56.51,320.13,bykaranteli.com
2026-09-05,AAPLUSDT,4h,41.15,320.13,bykaranteli.com
2026-09-05,AAVEUSDT,12h,61.6,131.07,bykaranteli.com
2026-09-05,AAVEUSDT,15m,60.88,131.07,bykaranteli.com
2026-09-05,AAVEUSDT,1M,47.82,131.07,bykaranteli.com
2026-09-05,AAVEUSDT,1d,64.62,131.07,bykaranteli.com
2026-09-05,AAVEUSDT,1h,48.79,131.07,bykaranteli.com
2026-09-05,AAVEUSDT,1w,56.61,131.07,bykaranteli.com
2026-09-05,AAVEUSDT,3d,66.4,131.07,bykaranteli.com
2026-09-05,AAVEUSDT,4h,54.93,131.07,bykaranteli.com
2026-09-05,ACEUSDT,12h,44.42,0.17211,bykaranteli.com
2026-09-05,ACEUSDT,15m,41.82,0.17211,bykaranteli.com
2026-09-05,ACEUSDT,1M,27.26,0.17211,bykaranteli.com
2026-09-05,ACEUSDT,1d,49.37,0.17211,bykaranteli.com
2026-09-05,ACEUSDT,1h,35.67,0.17211,bykaranteli.com
2026-09-05,ACEUSDT,1w,53.92,0.17211,bykaranteli.com
2026-09-05,ACEUSDT,3d,59.06,0.17211,bykaranteli.com
2026-09-05,ACEUSDT,4h,39.14,0.17211,bykaranteli.com
2026-09-05,ACHUSDT,12h,60.05,0.005166,bykaranteli.com
2026-09-05,ACHUSDT,15m,44.57,0.005166,bykaranteli.com
2026-09-05,ACHUSDT,1M,37.76,0.005166,bykaranteli.com
2026-09-05,ACHUSDT,1d,62.5,0.005166,bykaranteli.com
2026-09-05,ACHUSDT,1h,45.71,0.005166,bykaranteli.com
2026-09-05,ACHUSDT,1w,43.14,0.005166,bykaranteli.com
2026-09-05,ACHUSDT,3d,55.66,0.005166,bykaranteli.com
2026-09-05,ACHUSDT,4h,55,0.005166,bykaranteli.com
2026-09-05,ACTUSDT,12h,55.51,0.010946,bykaranteli.com
2026-09-05,ACTUSDT,15m,56.2,0.010946,bykaranteli.com
2026-09-05,ACTUSDT,1M,6.43,0.010946,bykaranteli.com
2026-09-05,ACTUSDT,1d,54.09,0.010946,bykaranteli.com
2026-09-05,ACTUSDT,1h,59.5,0.010946,bykaranteli.com
2026-09-05,ACTUSDT,1w,42.19,0.010946,bykaranteli.com
2026-09-05,ACTUSDT,3d,54.29,0.010946,bykaranteli.com
2026-09-05,ACTUSDT,4h,63.92,0.010946,bykaranteli.com
2026-09-05,ACUUSDT,12h,64.68,0.14555,bykaranteli.com
2026-09-05,ACUUSDT,15m,61.25,0.14555,bykaranteli.com
2026-09-05,ACUUSDT,1d,64.96,0.14555,bykaranteli.com
2026-09-05,ACUUSDT,1h,75.48,0.14555,bykaranteli.com
2026-09-05,ACUUSDT,1w,61.08,0.14555,bykaranteli.com
2026-09-05,ACUUSDT,3d,68.28,0.14555,bykaranteli.com
2026-09-05,ACUUSDT,4h,75.68,0.14555,bykaranteli.com
2026-09-05,ADAUSDT,12h,55.34,0.2112,bykaranteli.com
2026-09-05,ADAUSDT,15m,44.95,0.2112,bykaranteli.com
2026-09-05,ADAUSDT,1M,40,0.2112,bykaranteli.com
2026-09-05,ADAUSDT,1d,56.43,0.2112,bykaranteli.com
2026-09-05,ADAUSDT,1h,41.96,0.2112,bykaranteli.com
2026-09-05,ADAUSDT,1w,46.13,0.2112,bykaranteli.com
2026-09-05,ADAUSDT,3d,55.57,0.2112,bykaranteli.com
2026-09-05,ADAUSDT,4h,53.3,0.2112,bykaranteli.com
2026-09-05,ADBEUSDT,12h,36.8,268.28,bykaranteli.com
2026-09-05,ADBEUSDT,15m,56.22,268.28,bykaranteli.com
2026-09-05,ADBEUSDT,1d,45.92,268.28,bykaranteli.com
2026-09-05,ADBEUSDT,1h,34.54,268.28,bykaranteli.com
2026-09-05,ADBEUSDT,3d,61.12,268.28,bykaranteli.com
2026-09-05,ADBEUSDT,4h,25.26,268.28,bykaranteli.com
2026-09-05,AEROUSDT,12h,55.13,0.4991,bykaranteli.com
2026-09-05,AEROUSDT,15m,49.24,0.4991,bykaranteli.com
2026-09-05,AEROUSDT,1M,38.12,0.4991,bykaranteli.com
2026-09-05,AEROUSDT,1d,57.02,0.4991,bykaranteli.com
2026-09-05,AEROUSDT,1h,48.93,0.4991,bykaranteli.com
2026-09-05,AEROUSDT,1w,52.54,0.4991,bykaranteli.com
2026-09-05,AEROUSDT,3d,56.39,0.4991,bykaranteli.com
2026-09-05,AEROUSDT,4h,55.35,0.4991,bykaranteli.com
2026-09-05,AEVOUSDT,12h,57.35,0.02276,bykaranteli.com
2026-09-05,AEVOUSDT,15m,57.83,0.02276,bykaranteli.com
2026-09-05,AEVOUSDT,1M,8.95,0.02276,bykaranteli.com
2026-09-05,AEVOUSDT,1d,57.5,0.02276,bykaranteli.com
2026-09-05,AEVOUSDT,1h,56.88,0.02276,bykaranteli.com
2026-09-05,AEVOUSDT,1w,44.29,0.02276,bykaranteli.com
