date,theme,index,source
2025-07-17,ai,53.067,bykaranteli.com
2025-07-17,defi,80.29,bykaranteli.com
2025-07-17,depin,51.709,bykaranteli.com
2025-07-17,l1,86.964,bykaranteli.com
2025-07-17,l2,41.621,bykaranteli.com
2025-07-17,meme,71.466,bykaranteli.com
2025-07-17,quantum,112.401,bykaranteli.com
2025-07-17,rwa,68.931,bykaranteli.com
2025-07-18,ai,52.482,bykaranteli.com
2025-07-18,defi,81.326,bykaranteli.com
2025-07-18,depin,51.359,bykaranteli.com
2025-07-18,l1,86.873,bykaranteli.com
2025-07-18,l2,41.458,bykaranteli.com
2025-07-18,meme,71.806,bykaranteli.com
2025-07-18,quantum,112.392,bykaranteli.com
2025-07-18,rwa,68.455,bykaranteli.com
2025-07-19,ai,53.81,bykaranteli.com
2025-07-19,defi,83.287,bykaranteli.com
2025-07-19,depin,52.096,bykaranteli.com
2025-07-19,l1,87.824,bykaranteli.com
2025-07-19,l2,42.333,bykaranteli.com
2025-07-19,meme,73.162,bykaranteli.com
2025-07-19,quantum,113.144,bykaranteli.com
2025-07-19,rwa,69.966,bykaranteli.com
2025-07-20,ai,55.643,bykaranteli.com
2025-07-20,defi,86.812,bykaranteli.com
2025-07-20,depin,55.373,bykaranteli.com
2025-07-20,l1,89.583,bykaranteli.com
2025-07-20,l2,44.275,bykaranteli.com
2025-07-20,meme,76.651,bykaranteli.com
2025-07-20,quantum,116.162,bykaranteli.com
2025-07-20,rwa,77.202,bykaranteli.com
2025-07-21,ai,56.911,bykaranteli.com
2025-07-21,defi,89.93,bykaranteli.com
2025-07-21,depin,55.874,bykaranteli.com
2025-07-21,l1,91.379,bykaranteli.com
2025-07-21,l2,44.767,bykaranteli.com
2025-07-21,meme,80.494,bykaranteli.com
2025-07-21,quantum,119.043,bykaranteli.com
2025-07-21,rwa,76.897,bykaranteli.com
2025-07-22,ai,57.879,bykaranteli.com
2025-07-22,defi,90.925,bykaranteli.com
2025-07-22,depin,55.977,bykaranteli.com
2025-07-22,l1,92.775,bykaranteli.com
2025-07-22,l2,44.104,bykaranteli.com
2025-07-22,meme,83.073,bykaranteli.com
2025-07-22,quantum,122.538,bykaranteli.com
2025-07-22,rwa,78.987,bykaranteli.com
2025-07-23,ai,51.903,bykaranteli.com
2025-07-23,defi,84.638,bykaranteli.com
2025-07-23,depin,51,bykaranteli.com
2025-07-23,l1,86.778,bykaranteli.com
2025-07-23,l2,39.631,bykaranteli.com
2025-07-23,meme,76.171,bykaranteli.com
2025-07-23,quantum,116.622,bykaranteli.com
2025-07-23,rwa,72.737,bykaranteli.com
2025-07-24,ai,50.593,bykaranteli.com
2025-07-24,defi,83.261,bykaranteli.com
2025-07-24,depin,49.209,bykaranteli.com
2025-07-24,l1,85.739,bykaranteli.com
2025-07-24,l2,38.955,bykaranteli.com
2025-07-24,meme,71.992,bykaranteli.com
2025-07-24,quantum,116.873,bykaranteli.com
2025-07-24,rwa,72.088,bykaranteli.com
2025-07-25,ai,52.215,bykaranteli.com
2025-07-25,defi,88.524,bykaranteli.com
2025-07-25,depin,50.643,bykaranteli.com
2025-07-25,l1,87.58,bykaranteli.com
2025-07-25,l2,40.199,bykaranteli.com
2025-07-25,meme,74.467,bykaranteli.com
2025-07-25,quantum,117.198,bykaranteli.com
2025-07-25,rwa,76.248,bykaranteli.com
2025-07-26,ai,52.199,bykaranteli.com
2025-07-26,defi,89.604,bykaranteli.com
2025-07-26,depin,50.613,bykaranteli.com
2025-07-26,l1,89.017,bykaranteli.com
2025-07-26,l2,40.336,bykaranteli.com
2025-07-26,meme,74.558,bykaranteli.com
2025-07-26,quantum,117.905,bykaranteli.com
2025-07-26,rwa,76.184,bykaranteli.com
2025-07-27,ai,54.119,bykaranteli.com
2025-07-27,defi,93.523,bykaranteli.com
2025-07-27,depin,53.211,bykaranteli.com
2025-07-27,l1,91.602,bykaranteli.com
2025-07-27,l2,42.052,bykaranteli.com
