date,symbol,oi_base_close,oi_usd_close,funding_rate_sum_pct,long_liquidations_usd,short_liquidations_usd,liquidation_events,source
2026-09-02,AAOIUSDT,130215.27,13426496,0.100308,34489,33,23,bykaranteli.com
2026-09-02,AAPLUSDT,62534.34,20327194,0,8040,22803,17,bykaranteli.com
2026-09-02,ADBEUSDT,,,,0,32958,7,bykaranteli.com
2026-09-02,ALABUSDT,,,,2081,0,5,bykaranteli.com
2026-09-02,AMATUSDT,,,,22411,4639,15,bykaranteli.com
2026-09-02,AMDUSDT,,,,8914,210,9,bykaranteli.com
2026-09-02,AMZNUSDT,54124.7,13884238,0.039599,9742,0,11,bykaranteli.com
2026-09-02,ANTHROPICUSDT,9269.3,18204231,0.015,8464,10570,16,bykaranteli.com
2026-09-02,APPUSDT,,,,67,0,1,bykaranteli.com
2026-09-02,ARMUSDT,60221.13,14184398,0.025346,43490,0,5,bykaranteli.com
2026-09-02,ASMLUSDT,,,,16693,4165,5,bykaranteli.com
2026-09-02,ASTSUSDT,,,,5404,523,15,bykaranteli.com
2026-09-02,AVGOUSDT,56444.82,20547884,0.015205,1320663,159051,207,bykaranteli.com
2026-09-02,AXTIUSDT,,,,158554,20026,57,bykaranteli.com
2026-09-02,BABAUSDT,136022.94,15235930,0.146775,187306,19431,28,bykaranteli.com
2026-09-02,BBXUSDT,,,,251,12,6,bykaranteli.com
2026-09-02,BEUSDT,,,,57138,179,12,bykaranteli.com
2026-09-02,BITOUSDT,,,,0,222,2,bykaranteli.com
2026-09-02,BMNRUSDT,667760.55,15358493,0.063389,9030,4035,15,bykaranteli.com
2026-09-02,BNCUSDT,,,,35,442,3,bykaranteli.com
2026-09-02,BOTUSDT,,,,5,0,1,bykaranteli.com
2026-09-02,BRKBUSDT,,,,969,96,2,bykaranteli.com
2026-09-02,BSPUSDT,,,,195,400,7,bykaranteli.com
2026-09-02,BXUSDT,,,,164,8968,6,bykaranteli.com
2026-09-02,BZUSDT,2996067.43,285255580,-0.106874,256688,899831,180,bykaranteli.com
2026-09-02,CATUSDT,,,,718,0,3,bykaranteli.com
2026-09-02,CBRSUSDT,69336.33,12786609,0.13754,4215,4517,15,bykaranteli.com
2026-09-02,CIENUSDT,,,,96,2966,3,bykaranteli.com
2026-09-02,CLUSDT,3598420.09,325969691,-0.101344,280491,1611782,301,bykaranteli.com
2026-09-02,COHRUSDT,,,,89803,0,9,bykaranteli.com
2026-09-02,COINUSDT,76372.69,13399588,0.015282,33050,30,8,bykaranteli.com
2026-09-02,COPPERUSDT,,,,22063,9170,11,bykaranteli.com
2026-09-02,COSTUSDT,,,,158,0,4,bykaranteli.com
2026-09-02,CRCLUSDT,903310.98,80313379,0.08,163477,3599,29,bykaranteli.com
2026-09-02,CRDOUSDT,,,,144413,35243,109,bykaranteli.com
2026-09-02,CRMUSDT,,,,139,83503,25,bykaranteli.com
2026-09-02,CRWDUSDT,,,,48,9284,15,bykaranteli.com
2026-09-02,CRWVUSDT,,,,31475,5930,15,bykaranteli.com
2026-09-02,CSCOUSDT,,,,2913,1994,4,bykaranteli.com
2026-09-02,CSOPSAMSUNG2LUSDT,,,,2519,0,1,bykaranteli.com
2026-09-02,CSOPSKHYNIX2LUSDT,,,,5650,1835,10,bykaranteli.com
2026-09-02,CXMTUSDT,,,,82400,4306,55,bykaranteli.com
2026-09-02,DDOGUSDT,,,,1767,474,9,bykaranteli.com
2026-09-02,DELLUSDT,,,,120477,301993,88,bykaranteli.com
2026-09-02,DJTUSDT,,,,96,9,2,bykaranteli.com
2026-09-02,DKNGUSDT,,,,83,0,1,bykaranteli.com
2026-09-02,DRAMUSDT,839429.43,47268271,0.07477,3499,873,9,bykaranteli.com
2026-09-02,EBAYUSDT,,,,113,0,1,bykaranteli.com
2026-09-02,EWJUSDT,,,,0,1434,1,bykaranteli.com
2026-09-02,EWTUSDT,,,,0,209,1,bykaranteli.com
2026-09-02,EWYUSDT,161197.12,28928435,0.027621,6030,9179,8,bykaranteli.com
2026-09-02,EWZUSDT,,,,0,39,1,bykaranteli.com
2026-09-02,FLEXUSDT,,,,2704,1311,4,bykaranteli.com
2026-09-02,FLNCUSDT,,,,44260,0,10,bykaranteli.com
2026-09-02,FWDIUSDT,,,,0,16305,10,bykaranteli.com
2026-09-02,GDXUSDT,,,,860,675,8,bykaranteli.com
2026-09-02,GEVUSDT,,,,134,924,4,bykaranteli.com
2026-09-02,GIGADEVUSDT,,,,5576,0,4,bykaranteli.com
2026-09-02,GLWUSDT,,,,1579,1996,6,bykaranteli.com
2026-09-02,GMEUSDT,,,,34,881,2,bykaranteli.com
2026-09-02,GOOGLUSDT,201685.7,68290585,0.00814,71187,848,17,bykaranteli.com
2026-09-02,GSUSDT,,,,18643,0,3,bykaranteli.com
2026-09-02,GTLBUSDT,,,,7536,395,33,bykaranteli.com
2026-09-02,HANMIUSDT,,,,6,3965,2,bykaranteli.com
2026-09-02,HDUSDT,,,,10,3,2,bykaranteli.com
2026-09-02,HK0625USDT,,,,1476,1735,20,bykaranteli.com
2026-09-02,HK0700USDT,,,,505,13,4,bykaranteli.com
2026-09-02,HK1810USDT,,,,13322,157,6,bykaranteli.com
2026-09-02,HOODUSDT,142443.14,15535823,0.040871,33281,717,9,bykaranteli.com
2026-09-02,HPEUSDT,,,,76473,3295,27,bykaranteli.com
2026-09-02,HYUNDAIUSDT,,,,34624,207,7,bykaranteli.com
2026-09-02,IBMUSDT,,,,14385,0,4,bykaranteli.com
2026-09-02,INTCUSDT,678869.27,61295106,0.015684,50404,62634,15,bykaranteli.com
2026-09-02,INTWUSDT,,,,223,9,4,bykaranteli.com
2026-09-02,IONQUSDT,,,,52,0,2,bykaranteli.com
2026-09-02,IRENUSDT,,,,27351,1427,8,bykaranteli.com
2026-09-02,JPMUSDT,,,,96,1200,3,bykaranteli.com
2026-09-02,KLACUSDT,,,,3544,0,4,bykaranteli.com
2026-09-02,KODEX200USDT,,,,12,0,1,bykaranteli.com
2026-09-02,KORUUSDT,2464589.68,50121156,0.041374,696757,390349,100,bykaranteli.com
2026-09-02,KOUSDT,,,,101,0,1,bykaranteli.com
2026-09-02,KSTRUSDT,,,,946,0,3,bykaranteli.com
2026-09-02,KUAISHOUUSDT,,,,159,8,2,bykaranteli.com
2026-09-02,LGELECTRONICSUSDT,,,,6,0,1,bykaranteli.com
2026-09-02,LITEUSDT,14718.87,12804578,0,13937,20226,20,bykaranteli.com
2026-09-02,LRCXUSDT,,,,40,949,3,bykaranteli.com
2026-09-02,LYTEUSDT,,,,6,0,1,bykaranteli.com
2026-09-02,MARAUSDT,,,,5400,82,9,bykaranteli.com
2026-09-02,MDBUSDT,,,,193,1777,8,bykaranteli.com
2026-09-02,MEITUANUSDT,,,,5348,0,7,bykaranteli.com
2026-09-02,METAUSDT,41143.06,24610133,0,10055,17,10,bykaranteli.com
2026-09-02,MINIMAXUSDT,,,,532,108563,32,bykaranteli.com
2026-09-02,MRKUSDT,,,,0,3242,6,bykaranteli.com
