date,symbol,trades,buy_usd,sell_usd,buy_share_pct,source
2026-08-13,BTCUSDT,143,116712595,72724089,61.61,bykaranteli.com
2026-08-14,BTCUSDT,1751,976084335,1234869494,44.15,bykaranteli.com
2026-08-14,ZECUSDT,3,0,3306491,0,bykaranteli.com
2026-08-15,BTCUSDT,271,142441381,173436696,45.09,bykaranteli.com
2026-08-15,ZECUSDT,4,3179090,1141720,73.58,bykaranteli.com
2026-08-16,BTCUSDT,702,396617949,430689796,47.94,bykaranteli.com
2026-08-16,ZECUSDT,3,1252530,2106315,37.29,bykaranteli.com
2026-08-17,BTCUSDT,2798,2318649130,1396426409,62.41,bykaranteli.com
2026-08-17,TRXUSDT,2,2579204,0,100,bykaranteli.com
2026-08-17,ZECUSDT,17,15675128,3140012,83.31,bykaranteli.com
2026-08-18,BTCUSDT,1862,1251866148,1221521622,50.61,bykaranteli.com
2026-08-18,TRXUSDT,1,0,1288512,0,bykaranteli.com
2026-08-18,ZECUSDT,6,3084399,3057030,50.22,bykaranteli.com
2026-08-19,1000SHIBUSDT,1,0,1002840,0,bykaranteli.com
2026-08-19,BTCUSDT,9468,7005173913,4910330428,58.79,bykaranteli.com
2026-08-19,NEARUSDT,5,2063499,3545483,36.79,bykaranteli.com
2026-08-19,ZECUSDT,36,39565654,3661306,91.53,bykaranteli.com
2026-08-20,ADAUSDT,2,0,2041529,0,bykaranteli.com
2026-08-20,BNBUSDT,4,1022064,3375317,23.24,bykaranteli.com
2026-08-20,BTCUSDT,7621,5324650458,4017613938,57,bykaranteli.com
2026-08-20,DOGEUSDT,6,2018704,4158934,32.68,bykaranteli.com
2026-08-20,ETHUSDT,1355,792686156,820813819,49.13,bykaranteli.com
2026-08-20,HYPEUSDT,12,9796082,5759291,62.98,bykaranteli.com
2026-08-20,LINKUSDT,1,0,1005197,0,bykaranteli.com
2026-08-20,SOLUSDT,34,14164701,23681053,37.43,bykaranteli.com
2026-08-20,SUIUSDT,3,0,3024151,0,bykaranteli.com
2026-08-20,XRPUSDT,67,31848026,55220996,36.58,bykaranteli.com
2026-08-20,ZECUSDT,11,8760218,3928587,69.04,bykaranteli.com
2026-08-21,1000PEPEUSDT,9,1000421,8283425,10.78,bykaranteli.com
2026-08-21,1000SHIBUSDT,1,0,1000367,0,bykaranteli.com
2026-08-21,ADAUSDT,2,1082515,1057496,50.58,bykaranteli.com
2026-08-21,ASTERUSDT,1,0,1006800,0,bykaranteli.com
2026-08-21,BCHUSDT,1,2560265,0,100,bykaranteli.com
2026-08-21,BNBUSDT,16,8768387,10269620,46.06,bykaranteli.com
2026-08-21,BTCUSDT,14270,9342016822,8316059867,52.91,bykaranteli.com
2026-08-21,DOGEUSDT,33,20918499,17256944,54.8,bykaranteli.com
2026-08-21,ENAUSDT,5,1214169,4239799,22.26,bykaranteli.com
2026-08-21,ETHUSDT,7491,4851270532,4114183718,54.11,bykaranteli.com
2026-08-21,HYPEUSDT,73,45853617,47032149,49.37,bykaranteli.com
2026-08-21,LINKUSDT,13,7506571,6425915,53.88,bykaranteli.com
2026-08-21,PUMPUSDT,2,1000139,1068801,48.34,bykaranteli.com
2026-08-21,SOLUSDT,310,157174772,214331875,42.31,bykaranteli.com
2026-08-21,SUIUSDT,4,2052851,2002672,50.62,bykaranteli.com
2026-08-21,WLDUSDT,2,0,2013591,0,bykaranteli.com
2026-08-21,XRPUSDT,119,59210438,75039873,44.1,bykaranteli.com
2026-08-21,ZECUSDT,53,40522709,18859019,68.24,bykaranteli.com
2026-08-22,1000PEPEUSDT,5,2301360,3020191,43.25,bykaranteli.com
2026-08-22,ADAUSDT,3,1010815,2039882,33.13,bykaranteli.com
2026-08-22,ASTERUSDT,1,1339259,0,100,bykaranteli.com
2026-08-22,BCHUSDT,1,1364979,0,100,bykaranteli.com
2026-08-22,BNBUSDT,12,3120776,11387073,21.51,bykaranteli.com
2026-08-22,BTCUSDT,919,485148285,607660995,44.39,bykaranteli.com
2026-08-22,DOGEUSDT,17,8586668,10654958,44.63,bykaranteli.com
2026-08-22,ETHUSDT,1189,562485558,859551619,39.55,bykaranteli.com
2026-08-22,HYPEUSDT,31,13262187,24378618,35.23,bykaranteli.com
2026-08-22,LINKUSDT,4,2026965,2079180,49.36,bykaranteli.com
2026-08-22,SOLUSDT,305,116524821,223050268,34.31,bykaranteli.com
2026-08-22,SUIUSDT,5,2092336,3089534,40.38,bykaranteli.com
2026-08-22,TRUMPUSDT,11,4223370,7100689,37.3,bykaranteli.com
2026-08-22,TRXUSDT,6,4063769,2033919,66.64,bykaranteli.com
2026-08-22,XRPUSDT,115,45969409,83570180,35.49,bykaranteli.com
2026-08-22,ZECUSDT,34,27214635,11656391,70.01,bykaranteli.com
