date,currency,instrument,expiry,strike,type,open_interest,mark_iv,underlying_usd,source
2026-08-21,BTC,BTC-11SEP26-60000-P,11SEP26,60000,put,26.9,48.94,74000.93,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-60000-C,11SEP26,60000,call,0,48.94,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-64000-C,11SEP26,64000,call,0,42.7,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-64000-P,11SEP26,64000,put,17.6,42.7,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-65000-C,11SEP26,65000,call,0,41.59,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-65000-P,11SEP26,65000,put,38.1,41.59,74000.93,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-66000-C,11SEP26,66000,call,0,40.33,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-66000-P,11SEP26,66000,put,2.6,40.33,74000.93,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-67000-C,11SEP26,67000,call,0,39.47,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-67000-P,11SEP26,67000,put,6.6,39.47,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-68000-C,11SEP26,68000,call,1.1,38.72,74000.93,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-68000-P,11SEP26,68000,put,505.9,38.72,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-69000-C,11SEP26,69000,call,2,38.04,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-69000-P,11SEP26,69000,put,21,38.04,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-70000-C,11SEP26,70000,call,285.5,37.58,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-70000-P,11SEP26,70000,put,27.1,37.58,74000.93,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-71000-C,11SEP26,71000,call,2,37.18,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-71000-P,11SEP26,71000,put,1.3,37.18,74000.93,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-72000-C,11SEP26,72000,call,20.7,36.99,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-72000-P,11SEP26,72000,put,0.8,36.99,74000.93,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-73000-C,11SEP26,73000,call,0.7,36.93,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-73000-P,11SEP26,73000,put,0.2,36.93,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-74000-C,11SEP26,74000,call,1.9,36.85,74000.93,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-74000-P,11SEP26,74000,put,4.7,36.85,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-75000-C,11SEP26,75000,call,48.5,36.96,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-75000-P,11SEP26,75000,put,0,36.96,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-76000-C,11SEP26,76000,call,108.5,37.07,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-76000-P,11SEP26,76000,put,0,37.07,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-78000-C,11SEP26,78000,call,479.2,37.75,74000.93,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-78000-P,11SEP26,78000,put,0,37.75,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-80000-C,11SEP26,80000,call,541.2,38.46,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-80000-P,11SEP26,80000,put,6.8,38.46,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-85000-C,11SEP26,85000,call,24,41.54,74000.93,bykaranteli.com
2026-08-21,BTC,BTC-11SEP26-85000-P,11SEP26,85000,put,0.1,41.54,73999.36,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-53000-C,21AUG26,53000,call,0,99.57,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-53000-P,21AUG26,53000,put,123.7,99.57,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-55000-C,21AUG26,55000,call,0,99.57,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-55000-P,21AUG26,55000,put,93.9,99.57,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-56000-C,21AUG26,56000,call,0,99.57,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-56000-P,21AUG26,56000,put,123,99.57,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-58000-C,21AUG26,58000,call,0,98.97,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-58000-P,21AUG26,58000,put,538.3,98.97,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-59000-C,21AUG26,59000,call,0,98.97,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-59000-P,21AUG26,59000,put,342.7,98.97,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-60000-C,21AUG26,60000,call,1,91.64,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-60000-P,21AUG26,60000,put,1715.6,91.64,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-61000-C,21AUG26,61000,call,13.5,89.78,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-61000-P,21AUG26,61000,put,1033.5,89.78,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-62000-C,21AUG26,62000,call,60.4,89.74,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-62000-P,21AUG26,62000,put,966.1,89.74,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-62500-C,21AUG26,62500,call,0,89.55,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-62500-P,21AUG26,62500,put,110.3,89.55,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-63000-C,21AUG26,63000,call,268.3,88.45,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-63000-P,21AUG26,63000,put,376.9,88.45,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-63500-C,21AUG26,63500,call,178,88.44,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-63500-P,21AUG26,63500,put,143.6,88.44,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-64000-C,21AUG26,64000,call,329.5,88.43,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-64000-P,21AUG26,64000,put,218.7,88.43,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-64500-C,21AUG26,64500,call,117.1,88.06,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-64500-P,21AUG26,64500,put,171.5,88.06,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-65000-C,21AUG26,65000,call,1279,87.74,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-65000-P,21AUG26,65000,put,207.9,87.74,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-65500-C,21AUG26,65500,call,163.1,87.6,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-65500-P,21AUG26,65500,put,84.7,87.6,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-66000-C,21AUG26,66000,call,1278.6,87.58,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-66000-P,21AUG26,66000,put,386.3,87.58,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-66500-C,21AUG26,66500,call,100,87.58,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-66500-P,21AUG26,66500,put,98.5,87.58,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-67000-C,21AUG26,67000,call,2086.3,87.58,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-67000-P,21AUG26,67000,put,729.8,87.58,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-67500-C,21AUG26,67500,call,150,87.58,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-67500-P,21AUG26,67500,put,91.2,87.58,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-68000-C,21AUG26,68000,call,1805.1,87.58,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-68000-P,21AUG26,68000,put,699.4,87.58,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-68500-C,21AUG26,68500,call,34.9,87.54,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-68500-P,21AUG26,68500,put,95.6,87.54,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-69000-C,21AUG26,69000,call,897,87.5,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-69000-P,21AUG26,69000,put,204.5,87.5,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-69500-C,21AUG26,69500,call,59.6,87.3,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-69500-P,21AUG26,69500,put,404.1,87.3,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-70000-C,21AUG26,70000,call,1047.6,83.85,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-70000-P,21AUG26,70000,put,502.7,83.85,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-70500-C,21AUG26,70500,call,144.3,79.14,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-70500-P,21AUG26,70500,put,188.7,79.14,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-71000-C,21AUG26,71000,call,17.9,74.33,73755.25,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-71000-P,21AUG26,71000,put,74.3,74.33,73756.82,bykaranteli.com
2026-08-21,BTC,BTC-21AUG26-71500-C,21AUG26,71500,call,7.5,68.05,73755.25,bykaranteli.com
